Title,Brand,OS,RAM,CPU,Storage,Screen Size,Resolution,CPU Speed,Refresh Rate,Model,Wireless Technology,SIM Count,Wireless Provider,Cellular Technology,Camera,Color,Price,Price Before Promotion,Currancy,Rate,URL,IMG,Reviews,Website
"Apple iPhone 13 with FaceTime - 128GB, 4GB RAM, 4G LTE, Starlight, Single SIM & E-SIM - International Warranty",Apple,ios,4 GB,A13,128 GB,6.1 Inches,3840 x 2160,,60 Hz,Iphone 13,,,Cricket,,,Starlight,"3,464.",,EGP,3.9 out of 5 stars,https://www.amazon.eg/-/en/Apple-iPhone-FaceTime-SIM-International/dp/B09G983YFX/ref=sr_1_23?dib=eyJ2IjoiMSJ9.6isoqnXzhDEKYUneY_VmX5Ibo74Hd8AyjsOnKSOJaqTmYDkuYfzTaEPr13KmnQiJkdrScFPdIHaDX0Rjc7SQYhVMKGP0ctfywpLZas7nCF2HOpQEYBANKAZzmt6MCYXWFUcOuPbvUXbVAkaFaoYfpjPV58rFq8TdVFdHUdnJ04huK76An8tHnFMkmy6NVTE462RaB_accCqxnrSZ6Q6pLjxPWjbHKpDqXlh7Xq5uJJkCBeB1Sz8kkmS4Re3VOAtvc6WaKYvyYHLMlZb33ERuwpE26sr1YloPRBVohGIh91Y.r86wYolS9Dq6nY8t1gPuAUlMR5mjiiCtFggLsNfEEaM&dib_tag=se&qid=1725739485&refinements=p_89%3AApple&s=electronics&sr=1-23&language=en_AE,https://m.media-amazon.com/images/I/71GLMJ7TQiL._AC_SL1500_.jpg,[],Amazon EG
"New Apple iPhone 14 Plus (128 GB) - Blue, Bluetooth, Wi-Fi",Apple,iOS 16,,A13,128 GB,6.7 Inches,2160 x 1080,,120 Hz,iPhone 14 Plus,,,Unlocked for All Carriers,5G,,Blue,"EGP35,450.00",,EGP,4.5 out of 5 stars,https://www.amazon.eg/-/en/New-Apple-iPhone-Plus-128/dp/B0BDHMPCN9/ref=sr_1_22?dib=eyJ2IjoiMSJ9.6isoqnXzhDEKYUneY_VmX5Ibo74Hd8AyjsOnKSOJaqTmYDkuYfzTaEPr13KmnQiJkdrScFPdIHaDX0Rjc7SQYhVMKGP0ctfywpLZas7nCF2HOpQEYBANKAZzmt6MCYXWFUcOuPbvUXbVAkaFaoYfpjPV58rFq8TdVFdHUdnJ04huK76An8tHnFMkmy6NVTE462RaB_accCqxnrSZ6Q6pLjxPWjbHKpDqXlh7Xq5uJJkCBeB1Sz8kkmS4Re3VOAtvc6WaKYvyYHLMlZb33ERuwpE26sr1YloPRBVohGIh91Y.r86wYolS9Dq6nY8t1gPuAUlMR5mjiiCtFggLsNfEEaM&dib_tag=se&qid=1725739485&refinements=p_89%3AApple&s=electronics&sr=1-22&language=en_AE,https://m.media-amazon.com/images/I/611d1GHKz-L._AC_SL1500_.jpg,"[{'reviewer_name': 'Ebraam', 'review_rating': '5.0 out of 5 stars', 'review_title': '5.0 out of 5 stars\nالمنتج اصلي وبحالة ممتازة ..', 'review_text': 'البائع آمين فى عرض وتسليم السلعةالمنتج جديد تماما ولا توجد به اى ملاحظاتشكرا\nRead more', 'review_date': 'Reviewed in Egypt on 14 July 2023'}, {'reviewer_name': 'Mahmoud', 'review_rating': '5.0 out of 5 stars', 'review_title': '5.0 out of 5 stars\nExcellent', 'review_text': 'Battery and software so perfect\nRead more', 'review_date': 'Reviewed in Egypt on 13 May 2023'}, {'reviewer_name': 'Atef Aziz Tadros', 'review_rating': '4.0 out of 5 stars', 'review_title': '4.0 out of 5 stars\niPhones 14 plus', 'review_text': 'الجهاز ممتازلكن أين الفاتوره الالكترونيه والضمان\nRead more', 'review_date': 'Reviewed in Egypt on 13 June 2024'}]",Amazon EG
Apple iPhone 13 (128 GB) - Green,Apple,iOS 15,,,128 GB,6.1 Inches,,,60 Hz,Apple 15 Bionic,,,Unlocked for All Carriers,4G,,Green,"EGP29,333.00","EGP30,750.00",EGP,4.4 out of 5 stars,https://www.amazon.eg/-/en/Apple-iPhone-13-128-GB/dp/B09V3HDPRL/ref=sr_1_12?dib=eyJ2IjoiMSJ9.6isoqnXzhDEKYUneY_VmX5Ibo74Hd8AyjsOnKSOJaqTmYDkuYfzTaEPr13KmnQiJkdrScFPdIHaDX0Rjc7SQYhVMKGP0ctfywpLZas7nCF2HOpQEYBANKAZzmt6MCYXWFUcOuPbvUXbVAkaFaoYfpjPV58rFq8TdVFdHUdnJ04huK76An8tHnFMkmy6NVTE462RaB_accCqxnrSZ6Q6pLjxPWjbHKpDqXlh7Xq5uJJkCBeB1Sz8kkmS4Re3VOAtvc6WaKYvyYHLMlZb33ERuwpE26sr1YloPRBVohGIh91Y.r86wYolS9Dq6nY8t1gPuAUlMR5mjiiCtFggLsNfEEaM&dib_tag=se&qid=1725739485&refinements=p_89%3AApple&s=electronics&sr=1-12&language=en_AE,https://m.media-amazon.com/images/I/51yG1FjZVYL._AC_SL1500_.jpg,"[{'reviewer_name': 'khaled', 'review_rating': '1.0 out of 5 stars', 'review_title': '1.0 out of 5 stars\nغير مطابق لنفس المواصفات مع اختلاف الالوان', 'review_text': 'بشريحة اتصال واحدة و اللون زيتي بشاشة 5.4\nRead more', 'review_date': 'Reviewed in Egypt on 24 July 2024'}]",Amazon EG
Iphone 13 International Green,Apple,Iphone 13,4 GB,A13,128 GB,6.1 Inches,,2 GHz,60 Hz,Iphone 13,,,Unlocked for All Carriers,,,Green,"EGP30,500.00",,EGP,4.4 out of 5 stars,https://www.amazon.eg/-/en/Apple-MNGG3J-A-Iphone-International/dp/B09V3MPM9J/ref=sr_1_26?dib=eyJ2IjoiMSJ9.pnewOi4nFQxN6LAEYhvhv2a34ZLeuNVSmEcnCB_VGlFoaJqZ7hRQkyV_QE1xWSn8.pUxjrmPkx14BQryaGcCkssajPcdoMkYjaQ65Vq0Kz0U&dib_tag=se&qid=1725739489&refinements=p_89%3AApple&s=electronics&sr=1-26&language=en_AE,https://m.media-amazon.com/images/I/61qr5N7ynXL._AC_SL1500_.jpg,"[{'reviewer_name': 'Mohanad Helmy', 'review_rating': '1.0 out of 5 stars', 'review_title': '1.0 out of 5 stars\nSCAM', 'review_text': 'This is not original\nRead more', 'review_date': 'Reviewed in Egypt on 6 February 2023'}]",Amazon EG
"Apple iPhone 14 (128 GB) - Midnight, Bluetooth, Wi-Fi, USB",Apple,iOS 16,6 GB,A13,128 GB,6.1 Inches,720 x 1600,,60 Hz,iPhone 14,,,Unlocked for All Carriers,,,Blue,"EGP34,550.00",,EGP,4.5 out of 5 stars,https://www.amazon.eg/-/en/Apple-iPhone-14-128-Bluetooth/dp/B0BDJ56TNF/ref=sr_1_18?dib=eyJ2IjoiMSJ9.6isoqnXzhDEKYUneY_VmX5Ibo74Hd8AyjsOnKSOJaqTmYDkuYfzTaEPr13KmnQiJkdrScFPdIHaDX0Rjc7SQYhVMKGP0ctfywpLZas7nCF2HOpQEYBANKAZzmt6MCYXWFUcOuPbvUXbVAkaFaoYfpjPV58rFq8TdVFdHUdnJ04huK76An8tHnFMkmy6NVTE462RaB_accCqxnrSZ6Q6pLjxPWjbHKpDqXlh7Xq5uJJkCBeB1Sz8kkmS4Re3VOAtvc6WaKYvyYHLMlZb33ERuwpE26sr1YloPRBVohGIh91Y.r86wYolS9Dq6nY8t1gPuAUlMR5mjiiCtFggLsNfEEaM&dib_tag=se&qid=1725739485&refinements=p_89%3AApple&s=electronics&sr=1-18&language=en_AE,https://m.media-amazon.com/images/I/51sFkTjuc3L._AC_SL1500_.jpg,"[{'reviewer_name': 'user-MW1F7K1', 'review_rating': '5.0 out of 5 stars', 'review_title': '5.0 out of 5 stars\nBeautiful', 'review_text': 'The phone serial is confirmed by apple as i check it before open the box.Original and good.Thanks Amazon.\nRead more', 'review_date': 'Reviewed in Egypt on 31 January 2023'}, {'reviewer_name': 'Mohamed Kilany', 'review_rating': '5.0 out of 5 stars', 'review_title': '5.0 out of 5 stars\nGood value', 'review_text': 'As described\nRead more', 'review_date': 'Reviewed in Egypt on 18 November 2023'}]",Amazon EG
"Apple iPhone 11 with FaceTime - 128GB, 4GB RAM, 4G LTE, White, Single SIM & E-SIM",Apple,iOS 12,4 GB,A13,128 GB,6.1 Inches,1280 x 720,,60 Hz,Iphone 11,,,Unlocked for All Carriers,,12MP,White,"EGP21,550.00",,EGP,4.4 out of 5 stars,https://www.amazon.eg/-/en/Apple-iPhone-11-FaceTime-SIM/dp/B07Y3L5KWP/ref=sr_1_3?dib=eyJ2IjoiMSJ9.6isoqnXzhDEKYUneY_VmX5Ibo74Hd8AyjsOnKSOJaqTmYDkuYfzTaEPr13KmnQiJkdrScFPdIHaDX0Rjc7SQYhVMKGP0ctfywpLZas7nCF2HOpQEYBANKAZzmt6MCYXWFUcOuPbvUXbVAkaFaoYfpjPV58rFq8TdVFdHUdnJ04huK76An8tHnFMkmy6NVTE462RaB_accCqxnrSZ6Q6pLjxPWjbHKpDqXlh7Xq5uJJkCBeB1Sz8kkmS4Re3VOAtvc6WaKYvyYHLMlZb33ERuwpE26sr1YloPRBVohGIh91Y.r86wYolS9Dq6nY8t1gPuAUlMR5mjiiCtFggLsNfEEaM&dib_tag=se&qid=1725739485&refinements=p_89%3AApple&s=electronics&sr=1-3&language=en_AE,https://m.media-amazon.com/images/I/71kZfQA-Y7L._AC_SL1500_.jpg,"[{'reviewer_name': 'Samir', 'review_rating': '5.0 out of 5 stars', 'review_title': '5.0 out of 5 stars\nلا يوجد به عيب', 'review_text': 'ممتاز\nRead more', 'review_date': 'Reviewed in Egypt on 11 March 2023'}, {'reviewer_name': 'Mohamed Samir', 'review_rating': '5.0 out of 5 stars', 'review_title': '5.0 out of 5 stars\nمتعاون جدا', 'review_text': 'اشكركم علي التعاون بتسليم المنتج المطلوب 🙏\nRead more', 'review_date': 'Reviewed in Egypt on 26 November 2022'}, {'reviewer_name': 'Sameh Halim', 'review_rating': '5.0 out of 5 stars', 'review_title': '5.0 out of 5 stars\nجيد', 'review_text': 'جيد\nRead more', 'review_date': 'Reviewed in Egypt on 3 January 2023'}, {'reviewer_name': 'user-MBRY641', 'review_rating': '4.0 out of 5 stars', 'review_title': '4.0 out of 5 stars\nتقييم من سوق.كوم', 'review_text': 'وصلني بوقت سريع جدا ممتاز ورائع\nRead more', 'review_date': 'Reviewed in Egypt on 8 March 2020'}, {'reviewer_name': 'user-MS6ZBC', 'review_rating': '5.0 out of 5 stars', 'review_title': '5.0 out of 5 stars\nجهاز آيفون ١١ اصلي نسخة الشرق الأوسط', 'review_text': 'بائع صادق و التلفون اصلى وكل حاجة حسب الوصف.\nRead more', 'review_date': 'Reviewed in Egypt on 10 May 2022'}, {'reviewer_name': 'منير بن علي', 'review_rating': '5.0 out of 5 stars', 'review_title': '5.0 out of 5 stars\nتقييم من سوق.كوم', 'review_text': 'أفضل سعر من المحلات الأخرىوكنت متخوف من الشراء.. لكن الحمدلله من أروع ما يكون .. توكلت على الله واشتريتهإيجابيات هذا المنتج:نفس اللون والشكل اللي طلبت\nRead more', 'review_date': 'Reviewed in Egypt on 27 March 2020'}, {'reviewer_name': 'Ali', 'review_rating': '1.0 out of 5 stars', 'review_title': '1.0 out of 5 stars\nتقييم من سوق.كوم', 'review_text': 'ليس الأفضل كان أفضل اشتري من توكيل هيكون بكل حاجه شاحن وهاند فري. وهادفع فرق بسيط.. انا دافع 14100 تجربه مش حلوهسلبيات هذا المنتج:بدون شاحن وبدون هاند فري\nRead more', 'review_date': 'Reviewed in Egypt on 3 February 2021'}, {'reviewer_name': 'user-M891FK1', 'review_rating': '5.0 out of 5 stars', 'review_title': '5.0 out of 5 stars\nتقييم من سوق.كوم', 'review_text': 'جيد جدا واذا اشتريت في الخصم يكون الفرق اكتر من ١٠٠ ريالإيجابيات هذا المنتج:المنتج نفس اللي بالمحلات مع فرق السعر لصالحكسلبيات هذا المنتج:كبير وثقيل مقارنه بالايفون ٧ او البرو ماكس\nRead more', 'review_date': 'Reviewed in Egypt on 18 March 2020'}]",Amazon EG
"Apple iPhone 11 with FaceTime - 128GB, 4GB RAM, 4G LTE, White, Single SIM & E-SIM",Apple,iOS 13,4 GB,A13,128 GB,6.1 Inches,828 x 1792,,60 Hz,Apple iPhone 11 with FaceTime,,,Unlocked for All Carriers,,,White,"EGP21,550.00",,EGP,4.5 out of 5 stars,https://www.amazon.eg/-/en/Apple-iPhone-11-FaceTime-SIM/dp/B08L89VM35/ref=sr_1_5?dib=eyJ2IjoiMSJ9.6isoqnXzhDEKYUneY_VmX5Ibo74Hd8AyjsOnKSOJaqTmYDkuYfzTaEPr13KmnQiJkdrScFPdIHaDX0Rjc7SQYhVMKGP0ctfywpLZas7nCF2HOpQEYBANKAZzmt6MCYXWFUcOuPbvUXbVAkaFaoYfpjPV58rFq8TdVFdHUdnJ04huK76An8tHnFMkmy6NVTE462RaB_accCqxnrSZ6Q6pLjxPWjbHKpDqXlh7Xq5uJJkCBeB1Sz8kkmS4Re3VOAtvc6WaKYvyYHLMlZb33ERuwpE26sr1YloPRBVohGIh91Y.r86wYolS9Dq6nY8t1gPuAUlMR5mjiiCtFggLsNfEEaM&dib_tag=se&qid=1725739485&refinements=p_89%3AApple&s=electronics&sr=1-5&language=en_AE,https://m.media-amazon.com/images/I/71QE00iB9IL._AC_SL1500_.jpg,"[{'reviewer_name': 'user-MY1CW6', 'review_rating': '5.0 out of 5 stars', 'review_title': '5.0 out of 5 stars\nفاتورة', 'review_text': 'انا اشتريت الجهاز وشغال تمام زي ماتوقعت.. الجهاز اصلي وجديد ويستاهل جدا.. سؤال: هل احتاج فاتورة في المستقبل؟  هل ممكن تبعتو لي فاتورة؟\nRead more', 'review_date': 'Reviewed in Egypt on 3 June 2022'}, {'reviewer_name': 'Islam Mohamed', 'review_rating': '4.0 out of 5 stars', 'review_title': '4.0 out of 5 stars\nنسخة عالمية صنعت في الهند', 'review_text': 'السعر غالي شوية بس كويس وخدمة العملاء قالت انه نسخة شرق اوسط بس طلع نسخة عالمية مصنوع في الهند الاصدار الجديد\nRead more', 'review_date': 'Reviewed in Egypt on 7 December 2021'}, {'reviewer_name': 'eslam', 'review_rating': '1.0 out of 5 stars', 'review_title': '1.0 out of 5 stars\nاللون مختلف', 'review_text': 'عيب الجهاز ييجي لونه مختلف كان ممكن ارجعة بعد ما فتحتة\nRead more', 'review_date': 'Reviewed in Egypt on 21 September 2022'}]",Amazon EG
Apple iPhone 15 (128 GB) - Black,Apple,iOS 17,,,128 GB,6.1,,,,iPhone 15,Wi-Fi,Single SIM,Unlocked for All Carriers,,48MP,Black,"EGP38,800.00",,EGP,4.7 out of 5 stars,https://www.amazon.eg/-/en/Apple-iPhone-15-128-GB/dp/B0CHX5QVX1/ref=sr_1_4?dib=eyJ2IjoiMSJ9.6isoqnXzhDEKYUneY_VmX5Ibo74Hd8AyjsOnKSOJaqTmYDkuYfzTaEPr13KmnQiJkdrScFPdIHaDX0Rjc7SQYhVMKGP0ctfywpLZas7nCF2HOpQEYBANKAZzmt6MCYXWFUcOuPbvUXbVAkaFaoYfpjPV58rFq8TdVFdHUdnJ04huK76An8tHnFMkmy6NVTE462RaB_accCqxnrSZ6Q6pLjxPWjbHKpDqXlh7Xq5uJJkCBeB1Sz8kkmS4Re3VOAtvc6WaKYvyYHLMlZb33ERuwpE26sr1YloPRBVohGIh91Y.r86wYolS9Dq6nY8t1gPuAUlMR5mjiiCtFggLsNfEEaM&dib_tag=se&qid=1725739485&refinements=p_89%3AApple&s=electronics&sr=1-4&language=en_AE,https://m.media-amazon.com/images/I/61qQCRAQ3sL._AC_SL1500_.jpg,[],Amazon EG
Apple iPhone 15 (128 GB) - Blue,Apple,iOS 15,,A13,128 GB,6.1 Inches,,2 GHz,120 Hz,Apple iPhone 15,,,Unlocked for All Carriers,4G,,Blue,"EGP38,550.00","EGP39,896.00",EGP,4.2 out of 5 stars,https://www.amazon.eg/-/en/Apple-iPhone-15-128-GB/dp/B0CHX1KLV5/ref=sr_1_1?dib=eyJ2IjoiMSJ9.6isoqnXzhDEKYUneY_VmX5Ibo74Hd8AyjsOnKSOJaqTmYDkuYfzTaEPr13KmnQiJkdrScFPdIHaDX0Rjc7SQYhVMKGP0ctfywpLZas7nCF2HOpQEYBANKAZzmt6MCYXWFUcOuPbvUXbVAkaFaoYfpjPV58rFq8TdVFdHUdnJ04huK76An8tHnFMkmy6NVTE462RaB_accCqxnrSZ6Q6pLjxPWjbHKpDqXlh7Xq5uJJkCBeB1Sz8kkmS4Re3VOAtvc6WaKYvyYHLMlZb33ERuwpE26sr1YloPRBVohGIh91Y.r86wYolS9Dq6nY8t1gPuAUlMR5mjiiCtFggLsNfEEaM&dib_tag=se&qid=1725739485&refinements=p_89%3AApple&s=electronics&sr=1-1&language=en_AE,https://m.media-amazon.com/images/I/71k38LlSqML._AC_SL1500_.jpg,"[{'reviewer_name': 'Wafaa', 'review_rating': '5.0 out of 5 stars', 'review_title': '5.0 out of 5 stars\nحلو', 'review_text': 'حلو\nRead more', 'review_date': 'Reviewed in Egypt on 1 June 2024'}, {'reviewer_name': 'Mohamed Hamdy', 'review_rating': '1.0 out of 5 stars', 'review_title': '1.0 out of 5 stars\nاستخفاف بالعميل في زمن التوصيل وحل المشاكل', 'review_text': 'إستخفاف بالعميل في زمن التوصيل و حل المشاكل\nRead more', 'review_date': 'Reviewed in Egypt on 1 August 2024'}]",Amazon EG
"Apple iPhone 13 with FaceTime - 128GB, 4GB RAM, 4G LTE, Midnight black, Single SIM & E-SIM - International Warranty",Apple,ios,4 GB,A13,128 GB,6.1 Inches,1170 x 2532,,60 Hz,,,,Cricket,4G,,Midnight Black,"2,599.",,EGP,3.6 out of 5 stars,https://www.amazon.eg/-/en/Apple-iPhone-FaceTime-SIM-International/dp/B09G99QJSK/ref=sr_1_24?dib=eyJ2IjoiMSJ9.6isoqnXzhDEKYUneY_VmX5Ibo74Hd8AyjsOnKSOJaqTmYDkuYfzTaEPr13KmnQiJkdrScFPdIHaDX0Rjc7SQYhVMKGP0ctfywpLZas7nCF2HOpQEYBANKAZzmt6MCYXWFUcOuPbvUXbVAkaFaoYfpjPV58rFq8TdVFdHUdnJ04huK76An8tHnFMkmy6NVTE462RaB_accCqxnrSZ6Q6pLjxPWjbHKpDqXlh7Xq5uJJkCBeB1Sz8kkmS4Re3VOAtvc6WaKYvyYHLMlZb33ERuwpE26sr1YloPRBVohGIh91Y.r86wYolS9Dq6nY8t1gPuAUlMR5mjiiCtFggLsNfEEaM&dib_tag=se&qid=1725739485&refinements=p_89%3AApple&s=electronics&sr=1-24&language=en_AE,https://m.media-amazon.com/images/I/61VuVU94RnL._AC_SL1500_.jpg,[],Amazon EG
