Title,Brand,OS,RAM,CPU,Storage,Screen Size,Resolution,CPU Speed,Refresh Rate,Model,Wireless Technology,SIM Count,Wireless Provider,Cellular Technology,Camera,Color,Price,Price Before Promotion,Currancy,Rate,URL,IMG,Reviews,Website
HONOR Magic5 Pro 12+512 Meadow Green,HONOR,Android 10.0,12 GB,Snapdragon,12 GB,6.81 Inches,3840 x 2160,,120 Hz,HONOR Magic5 Pro 12+512 M,,,Unlocked for All Carriers,,,Green,"EGP37,950.00",,EGP,3.8 out of 5 stars,https://www.amazon.eg/HONOR-Magic5-Pro-Meadow-Green/dp/B0C573LN19/ref=sr_1_15?dib=eyJ2IjoiMSJ9.DvZdHcWAMoLswBQHCRj6YaSu3bvyF_Qy7TaREiCzuzUn3S3PPnTFIcx7FS_AiWWkNj2-DAVzh77Z5juGS1DL3dS6WMs5oavYA8CNbGGU3vwsRZewanW-apXRSseztvfBFD0TTQbt1J2ziYH688NsANXbuEfzrMsexRVQlo9PTPQtZH-2t-M7dvoFJtXvx6xJTXDqQJYBbXan4orZIU7Bhnf4Jld6ZioXJKsJ8Wn4ynPPHktiASA57M02mspOmwZbM7ozmU_l9_vvkbiCWXaVVsaMePTvVA3bQu5wYEkgSmw.QlkBwN-ANzL01Kx1BduU3Vn7QRvCOLfkd2-t7qZ0Sm8&dib_tag=se&keywords=Honor&qid=1725743349&refinements=p_123%3A1500397&s=electronics&sr=1-15&language=en_AE,https://m.media-amazon.com/images/I/61gf3WPvl7L.__AC_SX300_SY300_QL70_ML2_.jpg,[],Amazon EG
Honor X7b 6-256 GREEN,HONOR,Android 13.0,6 GB,Snapdragon,256 GB,,,,120 Hz,HONOR X7b,,,China Mobile,4G,,Green,"EGP8,888.00",,EGP,Previous page,https://www.amazon.eg/-/en/HONOR-6936520833290-Honor-6-256-GREEN/dp/B0CVHDLD4P/ref=sr_1_10?dib=eyJ2IjoiMSJ9.DvZdHcWAMoLswBQHCRj6YaSu3bvyF_Qy7TaREiCzuzUn3S3PPnTFIcx7FS_AiWWkNj2-DAVzh77Z5juGS1DL3dS6WMs5oavYA8CNbGGU3vwsRZewanW-apXRSseztvfBFD0TTQbt1J2ziYH688NsANXbuEfzrMsexRVQlo9PTPQtZH-2t-M7dvoFJtXvx6xJTXDqQJYBbXan4orZIU7Bhnf4Jld6ZioXJKsJ8Wn4ynPPHktiASA57M02mspOmwZbM7ozmU_l9_vvkbiCWXaVVsaMePTvVA3bQu5wYEkgSmw.QlkBwN-ANzL01Kx1BduU3Vn7QRvCOLfkd2-t7qZ0Sm8&dib_tag=se&keywords=Honor&qid=1725743349&refinements=p_123%3A1500397&s=electronics&sr=1-10&language=en_AE,https://m.media-amazon.com/images/I/51ykLhmalQL._AC_SL1000_.jpg,[],Amazon EG
"Honor X9a Dual SIM, 8GB Up to 13GB RAM, 256GB ROM - Titanium Silver",HONOR,Android 12.0,8 GB,Snapdragon,256 GB,6.67 Inches,1080 x 2400,120 Hz,80 Hz,Honor X9a - Titanium Silver,,,,,,Titanium Silver,"12,764.",,EGP,3.8 out of 5 stars,https://www.amazon.eg/-/en/Honor-X9a-Dual-13GB-256GB/dp/B0CBMSPKCC/ref=sr_1_12?dib=eyJ2IjoiMSJ9.DvZdHcWAMoLswBQHCRj6YaSu3bvyF_Qy7TaREiCzuzUn3S3PPnTFIcx7FS_AiWWkNj2-DAVzh77Z5juGS1DL3dS6WMs5oavYA8CNbGGU3vwsRZewanW-apXRSseztvfBFD0TTQbt1J2ziYH688NsANXbuEfzrMsexRVQlo9PTPQtZH-2t-M7dvoFJtXvx6xJTXDqQJYBbXan4orZIU7Bhnf4Jld6ZioXJKsJ8Wn4ynPPHktiASA57M02mspOmwZbM7ozmU_l9_vvkbiCWXaVVsaMePTvVA3bQu5wYEkgSmw.QlkBwN-ANzL01Kx1BduU3Vn7QRvCOLfkd2-t7qZ0Sm8&dib_tag=se&keywords=Honor&qid=1725743349&refinements=p_123%3A1500397&s=electronics&sr=1-12&language=en_AE,https://m.media-amazon.com/images/I/61-b0FNJs0L._AC_SL1500_.jpg,"[{'reviewer_name': 'Abdelhameid Hamada', 'review_rating': '5.0 out of 5 stars', 'review_title': '5.0 out of 5 stars\nجوال ممتاز جدا', 'review_text': 'تحفة جوال ممتاز\nRead more', 'review_date': 'Reviewed in Egypt on 7 September 2023'}, {'reviewer_name': 'ظافر عبده منصور', 'review_rating': '3.0 out of 5 stars', 'review_title': '3.0 out of 5 stars\nالسعر يفوق إمكانيات الهاتف', 'review_text': 'بعد تجربة شهر هناك هواتف بنفس الفئة السعرية بأمكانيات أفضلزجاج الشاشة سيء سهل الخدش جدا ولاتوجد اسكرينة مضبوطة على الشاشة بسبب انحناء الحواف\nRead more', 'review_date': 'Reviewed in Egypt on 27 February 2024'}, {'reviewer_name': 'محمد الصعيدى', 'review_rating': '5.0 out of 5 stars', 'review_title': '5.0 out of 5 stars\nهل معه سماعه هونر تشويس هديه', 'review_text': 'لايوجد\nRead more', 'review_date': 'Reviewed in Egypt on 18 September 2023'}, {'reviewer_name': 'Abdalim Gabbani', 'review_rating': '4.0 out of 5 stars', 'review_title': '4.0 out of 5 stars\nالشاشة و البطارية', 'review_text': 'التلفون ينفع مع الناس العملين الي ما تهتم غير بالبطارية و الشاشة و الأشياء الاساسيةالبطارية تكمل معاك مش للاخر لاكن ممكن نقول استعمال فوق المتوسط دون توقف من الساعة ٨ صباحا إلى ١٠ بالليل و انت مرتاح بعيد عن الببجي طبعاالشاشة نقول جيدة جدا للوقعات و الخبطات برضو فوق متوسطة دون الخوف انها انكسرتسوفت وير ليس افضل شي الجهاز يعلق على خفيف احيانا لاكن مش شي مخيف إلى الان\nRead more', 'review_date': 'Reviewed in Egypt on 2 February 2024'}, {'reviewer_name': 'adam', 'review_rating': '1.0 out of 5 stars', 'review_title': '1.0 out of 5 stars\nالهاتف جيد جدا ولاكن شركه السعودي المسئوله عن الضمان بتنصب عليك وبتبيعلك الجهاز بدون ضمان', 'review_text': 'شركه السعودي بتنصب عليك المسئوله عن الضمان\nRead more', 'review_date': 'Reviewed in Egypt on 6 December 2023'}, {'reviewer_name': 'Mahmoud samy', 'review_rating': '3.0 out of 5 stars', 'review_title': '3.0 out of 5 stars\nالكاميرات  في الضياع', 'review_text': 'من الاخر الجهاز بيقدم شاشه وبطاريه سريعه الشحن غير كدا مفيشالشاشه سعات بتعلق وبتكون تقيلهالكاميرا منسبه جدا لو  واحنا في 2015حتي الفلاش ضعيفشكله  شيك ولو انتا بس محتاجه في حجات يوميه زي  تسمع مزيكا تتصفح  تمام غير كدا مفيش المعالج قديم  والسوفت وير جميل بس لسه عاوز شغل\nRead more', 'review_date': 'Reviewed in Egypt on 16 September 2023'}, {'reviewer_name': 'ممتاز جدا', 'review_rating': '5.0 out of 5 stars', 'review_title': '5.0 out of 5 stars\nممتاز جدا', 'review_text': 'جهاز تحفة\nRead more', 'review_date': 'Reviewed in Egypt on 4 March 2024'}, {'reviewer_name': 'جيد جدا', 'review_rating': '5.0 out of 5 stars', 'review_title': '5.0 out of 5 stars\nسرعه جيده', 'review_text': 'جيد جدا بطاريه قويه جدا  كاميرا شديدة الوضوح\nRead more', 'review_date': 'Reviewed in Egypt on 2 September 2023'}]",Amazon EG
HONOR X9b Dual SIM 12GB RAM+256GB ROM (6.78 Inches) (5G)- (Emerald Green)+HONOR Band 7,HONOR,Android 13.0,12 GB,Snapdragon,256 GB,6.78 Inches,,,120 Hz,Honor X9b,,,China Mobile,5G,,Emerald Green,"EGP27,002.38",,EGP,1.0 out of 5 stars,https://www.amazon.eg/-/en/HONOR-256GB-Inches-Emerald-Green/dp/B0CVVY2BCJ/ref=sr_1_19?dib=eyJ2IjoiMSJ9.DvZdHcWAMoLswBQHCRj6YaSu3bvyF_Qy7TaREiCzuzUn3S3PPnTFIcx7FS_AiWWkNj2-DAVzh77Z5juGS1DL3dS6WMs5oavYA8CNbGGU3vwsRZewanW-apXRSseztvfBFD0TTQbt1J2ziYH688NsANXbuEfzrMsexRVQlo9PTPQtZH-2t-M7dvoFJtXvx6xJTXDqQJYBbXan4orZIU7Bhnf4Jld6ZioXJKsJ8Wn4ynPPHktiASA57M02mspOmwZbM7ozmU_l9_vvkbiCWXaVVsaMePTvVA3bQu5wYEkgSmw.QlkBwN-ANzL01Kx1BduU3Vn7QRvCOLfkd2-t7qZ0Sm8&dib_tag=se&keywords=Honor&qid=1725743349&refinements=p_123%3A1500397&s=electronics&sr=1-19&language=en_AE,https://m.media-amazon.com/images/I/51KpKeyZyjL._AC_SL1000_.jpg,"[{'reviewer_name': 'مصطفى أحمد سيف', 'review_rating': '1.0 out of 5 stars', 'review_title': '1.0 out of 5 stars\nالسعر مبالغ فيه جدا السعر نزل جدا', 'review_text': 'تليفون ده سعره دلوقتي نزل الى 13 000 ونزل الى لحد 12000 ونص ازاي انتم العرضيني ب 27000 وهو ب 13\nRead more', 'review_date': 'Reviewed in Egypt on 20 August 2024'}, {'reviewer_name': 'Mohamed', 'review_rating': '1.0 out of 5 stars', 'review_title': '1.0 out of 5 stars\nانت تاجر حرامى', 'review_text': 'سعرة الان ١٣٥٠٠\nRead more', 'review_date': 'Reviewed in Egypt on 25 August 2024'}]",Amazon EG
Honor 90 Lite Dual SIM 8GB RAM+256GB ROM (6.7 Inches) (5G) - (Titanium Silver),HONOR,Android 11.0,8 GB,Snapdragon,256 GB,6.7 Inches,,,120 Hz,HONOR 90 Lite,,,China Mobile,5G,,Titanium Silver,"EGP11,299.00",,EGP,Previous page,https://www.amazon.eg/-/en/Honor-Lite-Dual-256GB-Inches/dp/B0CSBY6X5V/ref=sr_1_8?dib=eyJ2IjoiMSJ9.DvZdHcWAMoLswBQHCRj6YaSu3bvyF_Qy7TaREiCzuzUn3S3PPnTFIcx7FS_AiWWkNj2-DAVzh77Z5juGS1DL3dS6WMs5oavYA8CNbGGU3vwsRZewanW-apXRSseztvfBFD0TTQbt1J2ziYH688NsANXbuEfzrMsexRVQlo9PTPQtZH-2t-M7dvoFJtXvx6xJTXDqQJYBbXan4orZIU7Bhnf4Jld6ZioXJKsJ8Wn4ynPPHktiASA57M02mspOmwZbM7ozmU_l9_vvkbiCWXaVVsaMePTvVA3bQu5wYEkgSmw.QlkBwN-ANzL01Kx1BduU3Vn7QRvCOLfkd2-t7qZ0Sm8&dib_tag=se&keywords=Honor&qid=1725743349&refinements=p_123%3A1500397&s=electronics&sr=1-8&language=en_AE,https://m.media-amazon.com/images/I/61kzigWh3XL._AC_SL1500_.jpg,[],Amazon EG
HONOR X9b Dual SIM 12GB RAM+256GB ROM (6.78 Inches) (5G)- (Sunrise Orange)+HONOR Band 7,HONOR,Android 13.0,12 GB,Snapdragon,256 GB,6.78 Inches,,,120 Hz,Honor X9b,,,China Mobile,5G,,Orange,"EGP27,002.38",,EGP,1.0 out of 5 stars,https://www.amazon.eg/-/en/HONOR-256GB-Inches-Sunrise-Orange/dp/B0CVVX76BY/ref=sr_1_18?dib=eyJ2IjoiMSJ9.DvZdHcWAMoLswBQHCRj6YaSu3bvyF_Qy7TaREiCzuzUn3S3PPnTFIcx7FS_AiWWkNj2-DAVzh77Z5juGS1DL3dS6WMs5oavYA8CNbGGU3vwsRZewanW-apXRSseztvfBFD0TTQbt1J2ziYH688NsANXbuEfzrMsexRVQlo9PTPQtZH-2t-M7dvoFJtXvx6xJTXDqQJYBbXan4orZIU7Bhnf4Jld6ZioXJKsJ8Wn4ynPPHktiASA57M02mspOmwZbM7ozmU_l9_vvkbiCWXaVVsaMePTvVA3bQu5wYEkgSmw.QlkBwN-ANzL01Kx1BduU3Vn7QRvCOLfkd2-t7qZ0Sm8&dib_tag=se&keywords=Honor&qid=1725743349&refinements=p_123%3A1500397&s=electronics&sr=1-18&language=en_AE,https://m.media-amazon.com/images/I/61JpJuXpNdL._AC_SL1000_.jpg,"[{'reviewer_name': 'احمد ثروت', 'review_rating': '1.0 out of 5 stars', 'review_title': '1.0 out of 5 stars\nايه السعر ده يا هطل', 'review_text': 'الموبايل ميزيدش عن ١٣ ال٤\nRead more', 'review_date': 'Reviewed in Egypt on 29 August 2024'}]",Amazon EG
HONOR X9b Dual SIM 12GB RAM+256GB ROM (6.78 Inches) (5G)- (Emerald Green)+HONOR Choice Earbuds X5,HONOR,Android 13.0,12 GB,Snapdragon,256 GB,6.78 Inches,,,120 Hz,Honor X9b,,,China Mobile,5G,,Emerald Green,"EGP27,002.38",,EGP,Previous page,https://www.amazon.eg/-/en/HONOR-Inches-Emerald-Choice-Earbuds/dp/B0CVVWD9V5/ref=sr_1_17?dib=eyJ2IjoiMSJ9.DvZdHcWAMoLswBQHCRj6YaSu3bvyF_Qy7TaREiCzuzUn3S3PPnTFIcx7FS_AiWWkNj2-DAVzh77Z5juGS1DL3dS6WMs5oavYA8CNbGGU3vwsRZewanW-apXRSseztvfBFD0TTQbt1J2ziYH688NsANXbuEfzrMsexRVQlo9PTPQtZH-2t-M7dvoFJtXvx6xJTXDqQJYBbXan4orZIU7Bhnf4Jld6ZioXJKsJ8Wn4ynPPHktiASA57M02mspOmwZbM7ozmU_l9_vvkbiCWXaVVsaMePTvVA3bQu5wYEkgSmw.QlkBwN-ANzL01Kx1BduU3Vn7QRvCOLfkd2-t7qZ0Sm8&dib_tag=se&keywords=Honor&qid=1725743349&refinements=p_123%3A1500397&s=electronics&sr=1-17&language=en_AE,https://m.media-amazon.com/images/I/5154R0JDaPL._AC_SL1000_.jpg,[],Amazon EG
Honor X7b 6-256 BLACK,HONOR,Android 13.0,6 GB,Snapdragon,256 GB,6.8 Inches,,,120 Hz,HONOR X7b,,,China Mobile,4G,,Black,"EGP8,600.00",,EGP,5.0 out of 5 stars,https://www.amazon.eg/-/en/HONOR-6936520833283-Honor-6-256-BLACK/dp/B0CVHD376T/ref=sr_1_5?dib=eyJ2IjoiMSJ9.DvZdHcWAMoLswBQHCRj6YaSu3bvyF_Qy7TaREiCzuzUn3S3PPnTFIcx7FS_AiWWkNj2-DAVzh77Z5juGS1DL3dS6WMs5oavYA8CNbGGU3vwsRZewanW-apXRSseztvfBFD0TTQbt1J2ziYH688NsANXbuEfzrMsexRVQlo9PTPQtZH-2t-M7dvoFJtXvx6xJTXDqQJYBbXan4orZIU7Bhnf4Jld6ZioXJKsJ8Wn4ynPPHktiASA57M02mspOmwZbM7ozmU_l9_vvkbiCWXaVVsaMePTvVA3bQu5wYEkgSmw.QlkBwN-ANzL01Kx1BduU3Vn7QRvCOLfkd2-t7qZ0Sm8&dib_tag=se&keywords=Honor&qid=1725743349&refinements=p_123%3A1500397&s=electronics&sr=1-5&language=en_AE,https://m.media-amazon.com/images/I/51NKoR5aAgL._AC_SL1500_.jpg,[],Amazon EG
HONOR X9b Dual SIM 12GB RAM+256GB ROM (6.78 Inches) (5G) - (Emerald Green),HONOR,Android 13.0,12 GB,Snapdragon,12 GB,5.7 Inches,1220 x 2652,,120 Hz,Honor X9b,,,Unlocked for All Carriers,,,Emerald Green,"EGP14,990.00","EGP23,799.00",EGP,3.8 out of 5 stars,https://www.amazon.eg/-/en/HONOR-Dual-12GB-256GB-Inches/dp/B0CLDTN4C3/ref=sr_1_1?dib=eyJ2IjoiMSJ9.DvZdHcWAMoLswBQHCRj6YaSu3bvyF_Qy7TaREiCzuzUn3S3PPnTFIcx7FS_AiWWkNj2-DAVzh77Z5juGS1DL3dS6WMs5oavYA8CNbGGU3vwsRZewanW-apXRSseztvfBFD0TTQbt1J2ziYH688NsANXbuEfzrMsexRVQlo9PTPQtZH-2t-M7dvoFJtXvx6xJTXDqQJYBbXan4orZIU7Bhnf4Jld6ZioXJKsJ8Wn4ynPPHktiASA57M02mspOmwZbM7ozmU_l9_vvkbiCWXaVVsaMePTvVA3bQu5wYEkgSmw.QlkBwN-ANzL01Kx1BduU3Vn7QRvCOLfkd2-t7qZ0Sm8&dib_tag=se&keywords=Honor&qid=1725743349&refinements=p_123%3A1500397&s=electronics&sr=1-1&language=en_AE,https://m.media-amazon.com/images/I/817xVeE4MiL._AC_SL1500_.jpg,"[{'reviewer_name': 'Ahmed Elshamy', 'review_rating': '5.0 out of 5 stars', 'review_title': '5.0 out of 5 stars\nجهاز ممتاز', 'review_text': 'لو محتاج جهاز اداء ممتازكاميرات مش افضل حاجه\nRead more', 'review_date': 'Reviewed in Egypt on 3 September 2024'}, {'reviewer_name': 'Mohamed fathy', 'review_rating': '1.0 out of 5 stars', 'review_title': '1.0 out of 5 stars\nموبيل غالى بالنسبة لامكانياته', 'review_text': 'هو الميزه الوحيده انو ضد الكسر غير كد هو غالى جدا مقابل الامكانيات المتاحة فيه\nRead more', 'review_date': 'Reviewed in Egypt on 1 July 2024'}, {'reviewer_name': 'Ahmed Shetiwy', 'review_rating': '5.0 out of 5 stars', 'review_title': '5.0 out of 5 stars\nكويس جدا', 'review_text': 'كويس جدا\nRead more', 'review_date': 'Reviewed in Egypt on 1 September 2024'}, {'reviewer_name': 'Ahmed kamel', 'review_rating': '4.0 out of 5 stars', 'review_title': '4.0 out of 5 stars\nتمام كويس', 'review_text': 'انا اشتريته من b2 بسعر زيادة 2000 ج من امازون و لكن بضمان سنه و جربته هناك و وصل معاه سماعه اذن و جراب اى كلام كدة ووصله usbالكاميرة الرئيسية كويسه بقيت الكاميرات مش قد كدةسريع و كويس و لكن بيشحن ف ثلاثه ساعاتالبطاريه بتفضى خلال يومينعن تجربه ف هو كويس مش وحش\nRead more', 'review_date': 'Reviewed in Egypt on 26 July 2024'}, {'reviewer_name': 'Mostafa malak', 'review_rating': '5.0 out of 5 stars', 'review_title': '5.0 out of 5 stars\nتليفون روعه', 'review_text': 'بصراحه تليفون ممتاز وخدمه كويسه وصل بكل مشتملاته ومتقفل بعلبته وكل حاجه شكرا جدا\nRead more', 'review_date': 'Reviewed in Egypt on 13 August 2024'}, {'reviewer_name': 'البوب', 'review_rating': '5.0 out of 5 stars', 'review_title': '5.0 out of 5 stars\npremium', 'review_text': 'the product is premium\nRead more', 'review_date': 'Reviewed in Egypt on 11 August 2024'}, {'reviewer_name': 'Abanob', 'review_rating': '1.0 out of 5 stars', 'review_title': '1.0 out of 5 stars\nمستعمل', 'review_text': 'مافيش مصدقيه التليفون جاني وكان مستعمل من قبل\nRead more', 'review_date': 'Reviewed in Egypt on 29 April 2024'}, {'reviewer_name': 'user-MURU8C', 'review_rating': '5.0 out of 5 stars', 'review_title': '5.0 out of 5 stars\nشكرا امازون', 'review_text': 'العلبة تمام تشمل شاحن وكابل وسماعة ومحول للسماعة وجراب وابرةوالضمان البائع امازون\nRead more', 'review_date': 'Reviewed in Egypt on 1 July 2024'}]",Amazon EG
HONOR X8b 8GB RAM 512GB Internal storage- Glamorous Green,HONOR,Android 13.0,,Snapdragon,512 GB,6.41,,,,HONOR X8b,,,China Mobile,4G,,Glamorous Green,"EGP12,130.00",,EGP,3.0 out of 5 stars,https://www.amazon.eg/-/en/HONOR-512GB-Internal-storage-Glamorous/dp/B0CZ7BTDWJ/ref=sr_1_7?dib=eyJ2IjoiMSJ9.DvZdHcWAMoLswBQHCRj6YaSu3bvyF_Qy7TaREiCzuzUn3S3PPnTFIcx7FS_AiWWkNj2-DAVzh77Z5juGS1DL3dS6WMs5oavYA8CNbGGU3vwsRZewanW-apXRSseztvfBFD0TTQbt1J2ziYH688NsANXbuEfzrMsexRVQlo9PTPQtZH-2t-M7dvoFJtXvx6xJTXDqQJYBbXan4orZIU7Bhnf4Jld6ZioXJKsJ8Wn4ynPPHktiASA57M02mspOmwZbM7ozmU_l9_vvkbiCWXaVVsaMePTvVA3bQu5wYEkgSmw.QlkBwN-ANzL01Kx1BduU3Vn7QRvCOLfkd2-t7qZ0Sm8&dib_tag=se&keywords=Honor&qid=1725743349&refinements=p_123%3A1500397&s=electronics&sr=1-7&language=en_AE,https://m.media-amazon.com/images/I/61oExJJ6u8L._AC_SL1500_.jpg,"[{'reviewer_name': 'هل المشط المتعدد لاكتر من مقاس موجود داخل العلبة؟', 'review_rating': '3.0 out of 5 stars', 'review_title': '3.0 out of 5 stars\nهل يدعم خاصية الشحن الاسلكي', 'review_text': 'هل يدعم خاصية الشحن الاسلكي\nRead more', 'review_date': 'Reviewed in Egypt on 19 August 2024'}, {'reviewer_name': 'تمنه غالي جدا', 'review_rating': '1.0 out of 5 stars', 'review_title': '1.0 out of 5 stars\nالسعر غالي', 'review_text': 'السعر غالي جدا علي الامكانيات\nRead more', 'review_date': 'Reviewed in Egypt on 16 August 2024'}, {'reviewer_name': 'موبيل جامد', 'review_rating': '5.0 out of 5 stars', 'review_title': '5.0 out of 5 stars\nكاميره جامده', 'review_text': 'لو انت بتحب التصوير هات الموبيل ده من غير ما تفكر\nRead more', 'review_date': 'Reviewed in Egypt on 16 August 2024'}]",Amazon EG
