Title,Brand,OS,RAM,CPU,Storage,Screen Size,Resolution,CPU Speed,Refresh Rate,Model,Wireless Technology,SIM Count,Wireless Provider,Cellular Technology,Camera,Color,Price,Price Before Promotion,Currancy,Rate,URL,IMG,Reviews,Website
OPPO A18 Dual SIM 4GB RAM+64GB ROM (6.56 Inches) (4G LTE) - (Glowing Blue),OPPO,Android 13.0,4 GB,Snapdragon,64 GB,6.56 Inches,720 x 1612,,90 Hz,A18,,,Unlocked for All Carriers,,,Blue,"3,999.",,EGP,4.0 out of 5 stars,https://www.amazon.eg/-/en/OPPO-Dual-64GB-6-56-Inches/dp/B0CJSRBBTH/ref=sr_1_12?dib=eyJ2IjoiMSJ9.4XvmNPjJXr2AsWihyksz1_GKqhy-fMv8GwHkOwSF-xwEL_HZ5xUIRifSRfukfNxfKH3wxB4IfBWIhwj8DyTTISC7bHZtucrqTjG5BQYy9fckcjWF8rRXGUuE9UtoHUv3OLZMdzLgMMOQUsyQUpF3TRTEL3kVKJuLWYR6zy6D02zZHPbM7gX3XWYstYJBN4UhKGfqxWd5NikeH61rzmxNTWx3gia03pGoUxtjY0hkFEugQPFz18SOeDILTCigWrE0RSxfStqZWIljR808xZcIccaMePTvVA3bQu5wYEkgSmw.h8u3LTvnUotpEb4oysiGTVWU4eBr8OHdMKUq3hv2-hU&dib_tag=se&qid=1725742191&refinements=p_89%3AOPPO&s=electronics&sr=1-12&language=en_AE,https://m.media-amazon.com/images/I/81r7k-IoclL._AC_SL1500_.jpg,[],Amazon EG
OPPO Reno 6 Dual Sim 8gb Ram 128gb 4G Lte Phone (Black),OPPO,android,8 GB,Snapdragon,128 GB,6.4 Inches,1080 x 2400,1.8 GHz,70 Hz,Oppo Reno 6,,,,,,Black,"EGP13,499.00",,EGP,4.2 out of 5 stars,https://www.amazon.eg/-/en/OPPO-Reno-128gb-Phone-Black/dp/B09FPXWFLT/ref=sr_1_21?dib=eyJ2IjoiMSJ9.4XvmNPjJXr2AsWihyksz1_GKqhy-fMv8GwHkOwSF-xwEL_HZ5xUIRifSRfukfNxfKH3wxB4IfBWIhwj8DyTTISC7bHZtucrqTjG5BQYy9fckcjWF8rRXGUuE9UtoHUv3OLZMdzLgMMOQUsyQUpF3TRTEL3kVKJuLWYR6zy6D02zZHPbM7gX3XWYstYJBN4UhKGfqxWd5NikeH61rzmxNTWx3gia03pGoUxtjY0hkFEugQPFz18SOeDILTCigWrE0RSxfStqZWIljR808xZcIccaMePTvVA3bQu5wYEkgSmw.h8u3LTvnUotpEb4oysiGTVWU4eBr8OHdMKUq3hv2-hU&dib_tag=se&qid=1725742191&refinements=p_89%3AOPPO&s=electronics&sr=1-21&language=en_AE,https://m.media-amazon.com/images/I/61bt1qv5jZL._AC_SL1500_.jpg,"[{'reviewer_name': 'ahmed elshishtawy', 'review_rating': '5.0 out of 5 stars', 'review_title': '5.0 out of 5 stars\nالموبايل جيد جدا', 'review_text': 'الشاشة و الكاميرا واداء الجهاز جميل جدا\nRead more', 'review_date': 'Reviewed in Egypt on 7 June 2022'}, {'reviewer_name': 'user-ML1Y9Y', 'review_rating': '5.0 out of 5 stars', 'review_title': '5.0 out of 5 stars\nممتاز', 'review_text': 'ممتاز\nRead more', 'review_date': 'Reviewed in Egypt on 9 August 2022'}, {'reviewer_name': 'حامد محمود', 'review_rating': '5.0 out of 5 stars', 'review_title': '5.0 out of 5 stars\nممتاز', 'review_text': 'ممتاز  وا  مندوبين زوق جدا جدا\nRead more', 'review_date': 'Reviewed in Egypt on 20 April 2022'}, {'reviewer_name': 'عفاف ع.', 'review_rating': '1.0 out of 5 stars', 'review_title': '1.0 out of 5 stars\nالشاشة باظت بعد إستعمال 18 شهر', 'review_text': 'الشاشة باظت بعد إستعمال 18 شهر\nRead more', 'review_date': 'Reviewed in Egypt on 22 August 2023'}, {'reviewer_name': 'Essam Amer', 'review_rating': '3.0 out of 5 stars', 'review_title': '3.0 out of 5 stars\nلم يلبي توقعاتي', 'review_text': 'بعد استعمال 6 اشهركنت مستخدم لهاتف اوبو. F11 وبصراحه رغم انه اقل امكانيات ولاكنه اسرع بعشرات المرات منهالهاتف ملي بعيوب بطي في الاستجابه واخطائه كثيره\nRead more', 'review_date': 'Reviewed in Egypt on 6 August 2022'}, {'reviewer_name': 'user-MHXSCC', 'review_rating': '5.0 out of 5 stars', 'review_title': '5.0 out of 5 stars\nاصلى واحسن سعر', 'review_text': 'افضل سعر، والموبايل تمام واصلى وكله تمامكنت جبته ب ٥٦٠٠ قبل ما الاسعار تزيد\nRead more', 'review_date': 'Reviewed in Egypt on 11 December 2021'}, {'reviewer_name': 'Asma m.', 'review_rating': '2.0 out of 5 stars', 'review_title': '2.0 out of 5 stars\nعادي', 'review_text': 'عادي\nRead more', 'review_date': 'Reviewed in Egypt on 14 July 2023'}, {'reviewer_name': 'user-M5WUCY', 'review_rating': '5.0 out of 5 stars', 'review_title': '5.0 out of 5 stars\nشكراً امازون', 'review_text': 'موبيل جميل وشكراً أمازون لسرعه التوصيل\nRead more', 'review_date': 'Reviewed in Egypt on 7 April 2022'}]",Amazon EG
Oppo Reno11 5G 12-256 Wave Green,OPPO,Android 11.0,12 GB,Snapdragon,256 GB,6.55 Inches,,,,Reno 11,,,,5G,,Green,"EGP16,490.00",,EGP,1.0 out of 5 stars,https://www.amazon.eg/-/en/Oppo-Reno11-12-256-Wave-Green/dp/B0D1YGKPCD/ref=sr_1_10?dib=eyJ2IjoiMSJ9.4XvmNPjJXr2AsWihyksz1_GKqhy-fMv8GwHkOwSF-xwEL_HZ5xUIRifSRfukfNxfKH3wxB4IfBWIhwj8DyTTISC7bHZtucrqTjG5BQYy9fckcjWF8rRXGUuE9UtoHUv3OLZMdzLgMMOQUsyQUpF3TRTEL3kVKJuLWYR6zy6D02zZHPbM7gX3XWYstYJBN4UhKGfqxWd5NikeH61rzmxNTWx3gia03pGoUxtjY0hkFEugQPFz18SOeDILTCigWrE0RSxfStqZWIljR808xZcIccaMePTvVA3bQu5wYEkgSmw.h8u3LTvnUotpEb4oysiGTVWU4eBr8OHdMKUq3hv2-hU&dib_tag=se&qid=1725742191&refinements=p_89%3AOPPO&s=electronics&sr=1-10&language=en_AE,https://m.media-amazon.com/images/I/61D1fQ4EA3L._AC_SL1440_.jpg,"[{'reviewer_name': 'Mohammed Ali Abdelnabi Attia', 'review_rating': '1.0 out of 5 stars', 'review_title': '1.0 out of 5 stars\nالمنتج مستعمل وليس جديد والبائع غير امين', 'review_text': 'المنتج مستعمل وليس جديد ومستخدم من قبل\nRead more', 'review_date': 'Reviewed in Egypt on 7 July 2024'}, {'reviewer_name': 'عمرو', 'review_rating': '1.0 out of 5 stars', 'review_title': '1.0 out of 5 stars\nهل المنتج نفس الصوره؟؟', 'review_text': 'هل المنتج نفس الصورة ؟\nRead more', 'review_date': 'Reviewed in Egypt on 7 June 2024'}]",Amazon EG
"Oppo Reno 12F 4G, 8GB Ram Snapdragon 685, 256GB Storage, 5000mAh & Dual SIM Slot - Olive Green",,,,,,,,,,,,,,,,Green,"EGP10,599.00",,EGP,1.0 out of 5 stars,https://www.amazon.eg/-/en/Oppo-Snapdragon-256GB-Storage-5000mAh/dp/B0DCW6H9QX/ref=sr_1_15?dib=eyJ2IjoiMSJ9.4XvmNPjJXr2AsWihyksz1_GKqhy-fMv8GwHkOwSF-xwEL_HZ5xUIRifSRfukfNxfKH3wxB4IfBWIhwj8DyTTISC7bHZtucrqTjG5BQYy9fckcjWF8rRXGUuE9UtoHUv3OLZMdzLgMMOQUsyQUpF3TRTEL3kVKJuLWYR6zy6D02zZHPbM7gX3XWYstYJBN4UhKGfqxWd5NikeH61rzmxNTWx3gia03pGoUxtjY0hkFEugQPFz18SOeDILTCigWrE0RSxfStqZWIljR808xZcIccaMePTvVA3bQu5wYEkgSmw.h8u3LTvnUotpEb4oysiGTVWU4eBr8OHdMKUq3hv2-hU&dib_tag=se&qid=1725742191&refinements=p_89%3AOPPO&s=electronics&sr=1-15&language=en_AE,https://m.media-amazon.com/images/I/51+PGGwPBmL._AC_SY300_SX300_.jpg,"[{'reviewer_name': 'Ahmed Gamal', 'review_rating': '1.0 out of 5 stars', 'review_title': '1.0 out of 5 stars\nالصورة غير المنتج', 'review_text': 'لا انصح بالشراء الصورة لا تخص المنتج الموصوف\nRead more', 'review_date': 'Reviewed in Egypt on 26 August 2024'}]",Amazon EG
Oppo A79 5G Dual-SIM 256GB ROM + 8GB RAM (Only GSM | No CDMA) Factory Unlocked 5G Smartphone (Mystery Black) - International Version,OPPO,Android 13.0,8 GB,,8 GB,6.4 Inches,,2.2 GHz,,,,,1&1,"2G, 4G, 5G",,Black,"EGP9,990.00",,EGP,3.5 out of 5 stars,https://www.amazon.eg/-/en/Dual-SIM-Factory-Unlocked-Smartphone-Mystery/dp/B0CND399RG/ref=sr_1_14?dib=eyJ2IjoiMSJ9.4XvmNPjJXr2AsWihyksz1_GKqhy-fMv8GwHkOwSF-xwEL_HZ5xUIRifSRfukfNxfKH3wxB4IfBWIhwj8DyTTISC7bHZtucrqTjG5BQYy9fckcjWF8rRXGUuE9UtoHUv3OLZMdzLgMMOQUsyQUpF3TRTEL3kVKJuLWYR6zy6D02zZHPbM7gX3XWYstYJBN4UhKGfqxWd5NikeH61rzmxNTWx3gia03pGoUxtjY0hkFEugQPFz18SOeDILTCigWrE0RSxfStqZWIljR808xZcIccaMePTvVA3bQu5wYEkgSmw.h8u3LTvnUotpEb4oysiGTVWU4eBr8OHdMKUq3hv2-hU&dib_tag=se&qid=1725742191&refinements=p_89%3AOPPO&s=electronics&sr=1-14&language=en_AE,https://m.media-amazon.com/images/I/71Fbf9Obn1L._AC_SL1500_.jpg,[],Amazon EG
"OPPO Reno 5A 5G Single Nano Sim +esim A1030P, NFC, 6.5” FHD Display 90Hz,Waterproof and dustproof,64+8+2+2 MP Quad Camera &16MP Front Camera, 6GB RAM,128GB 4000Mah Battery,Fingerprint, ice blue",OPPO,Android 11.0,6 GB,Snapdragon,128 GB,,1080 x 2340,1.8 GHz,120 Hz,Oppo Reno,,,Unlocked for All Carriers,,,Ice Blue,"3,999.",,EGP,5.0 out of 5 stars,https://www.amazon.eg/-/en/OPPO-Display-Waterproof-dustproof-Fingerprint/dp/B0C99R4S1F/ref=sr_1_19?dib=eyJ2IjoiMSJ9.4XvmNPjJXr2AsWihyksz1_GKqhy-fMv8GwHkOwSF-xwEL_HZ5xUIRifSRfukfNxfKH3wxB4IfBWIhwj8DyTTISC7bHZtucrqTjG5BQYy9fckcjWF8rRXGUuE9UtoHUv3OLZMdzLgMMOQUsyQUpF3TRTEL3kVKJuLWYR6zy6D02zZHPbM7gX3XWYstYJBN4UhKGfqxWd5NikeH61rzmxNTWx3gia03pGoUxtjY0hkFEugQPFz18SOeDILTCigWrE0RSxfStqZWIljR808xZcIccaMePTvVA3bQu5wYEkgSmw.h8u3LTvnUotpEb4oysiGTVWU4eBr8OHdMKUq3hv2-hU&dib_tag=se&qid=1725742191&refinements=p_89%3AOPPO&s=electronics&sr=1-19&language=en_AE,https://m.media-amazon.com/images/I/51OwigwPAwL._AC_SL1000_.jpg,"[{'reviewer_name': 'ميدو', 'review_rating': '5.0 out of 5 stars', 'review_title': '5.0 out of 5 stars\nموبايل 10/10', 'review_text': 'موبايل 10/10 يستاهل سعرههو شريحة واحدة نانوو الجيل الخامس5Gوشريحة تانية واحدة الكترونية  يعنى من غير ماتحط شريحة يلقط شبكة برقمك بس  مصر مبتدعمش ده دلوقتىيعنى يعتبر 2 شريحةالنسخة يابانية  بس ممكن تغير وجهتها لجميع اللغاتبما ان الجهاز اصلا مصنع لليابان فمعمول بااعلى جودةوبصراجة ممتاز جداكاميرا وشاشة وسرعة واداء وبطاريةتطبيق الرسايل هتحتاج تنزله من جوجل عادى او ترو كولورالموبايل والله مفهوش غلطة وعجبنى جدا بقاله معايا 6 شهور\nRead more', 'review_date': 'Reviewed in Egypt on 20 March 2024'}, {'reviewer_name': 'Hassan', 'review_rating': '5.0 out of 5 stars', 'review_title': '5.0 out of 5 stars\nممتاز وعملى ويدعم الشريحة الاكترونية و 5g', 'review_text': 'ممتاز جدا وبطارية جبارة وخامة وكايمرات فوق اللمتازةزوم 20xخاصة انى بحب التصوير جدامن اكتر الموبيلات اللى عجبتنى بعد تجربة موبيلات كتير لما تشتريه هاتله شاحن  18 وات  او اكتر الشحن افضلمجربتوش ضد المياه خفت بصراحةتم الشراء ب 11500 من 4 شهور\nRead more', 'review_date': 'Reviewed in Egypt on 15 October 2023'}, {'reviewer_name': 'Amazon Customer', 'review_rating': '5.0 out of 5 stars', 'review_title': '5.0 out of 5 stars\nممتاز شاريه من 4 شهور', 'review_text': 'ممتاز وكايمرات وكل حاجة ممتازة  فى الموبايل دهويستاهل كل جينه فيهضد المياه بس مجربتش ده خوفت على الموبايلوالشاشة بتاعته جميلة والتاتش سريع جداوالكايمرات زوم 20Xوسريع فى الاداء لانه المعالج بتاعه قوى ولا تهنيج ولا حاجةيختلف عن اى موبايل رينو نزل مصر  لانه افضلالنسخة ده كانت نازلة فى اليابان يعنى اعلى جودةمبروك للى اشتراه\nRead more', 'review_date': 'Reviewed in Egypt on 4 July 2023'}]",Amazon EG
Oppo A58 Dual SIM 6GB RAM + 128GB ROM (4G) (Black),OPPO,Android 13.0,6 GB,Snapdragon,128 GB,6.72 Inches,2160 x 1080,,60 Hz,A58,,,Unlocked for All Carriers,,,Black,"EGP7,650.00","EGP8,449.00",EGP,4.0 out of 5 stars,https://www.amazon.eg/-/en/Oppo-A58-Dual-128GB-Black/dp/B0CDBP5HFB/ref=sr_1_11?dib=eyJ2IjoiMSJ9.4XvmNPjJXr2AsWihyksz1_GKqhy-fMv8GwHkOwSF-xwEL_HZ5xUIRifSRfukfNxfKH3wxB4IfBWIhwj8DyTTISC7bHZtucrqTjG5BQYy9fckcjWF8rRXGUuE9UtoHUv3OLZMdzLgMMOQUsyQUpF3TRTEL3kVKJuLWYR6zy6D02zZHPbM7gX3XWYstYJBN4UhKGfqxWd5NikeH61rzmxNTWx3gia03pGoUxtjY0hkFEugQPFz18SOeDILTCigWrE0RSxfStqZWIljR808xZcIccaMePTvVA3bQu5wYEkgSmw.h8u3LTvnUotpEb4oysiGTVWU4eBr8OHdMKUq3hv2-hU&dib_tag=se&qid=1725742191&refinements=p_89%3AOPPO&s=electronics&sr=1-11&language=en_AE,https://m.media-amazon.com/images/I/81gpCfWufkL._AC_SL1500_.jpg,"[{'reviewer_name': 'Ashraf omar', 'review_rating': '5.0 out of 5 stars', 'review_title': '5.0 out of 5 stars\nالكشف عن المنتج من الداخل', 'review_text': 'الوصول السريع /التغليف المبالغ فئة للمنتج وعدم معرفة ما بداخلة أثناء الاستخدام\nRead more', 'review_date': 'Reviewed in Egypt on 14 August 2024'}, {'reviewer_name': 'نور محمد', 'review_rating': '1.0 out of 5 stars', 'review_title': '1.0 out of 5 stars\nزي الزفت', 'review_text': 'منتج مش حلو\nRead more', 'review_date': 'Reviewed in Egypt on 6 May 2024'}, {'reviewer_name': 'Gamal', 'review_rating': '5.0 out of 5 stars', 'review_title': '5.0 out of 5 stars\nممتاز', 'review_text': 'بس خلي بالك ضمان دولي\nRead more', 'review_date': 'Reviewed in Egypt on 29 January 2024'}]",Amazon EG
OPPO Reno 6 5G Dual SIM Stellar Black 8GB RAM 128GB,OPPO,Android 11.0,8 GB,Snapdragon,128 GB,6.4 Inches,1080 x 2400,2 GHz,90 Hz,Reno 6,,,,,,Black,"8,199.",,EGP,3.4 out of 5 stars,https://www.amazon.eg/-/en/OPPO-Reno-Stellar-Black-128GB/dp/B09FQ7DRQB/ref=sr_1_18?dib=eyJ2IjoiMSJ9.4XvmNPjJXr2AsWihyksz1_GKqhy-fMv8GwHkOwSF-xwEL_HZ5xUIRifSRfukfNxfKH3wxB4IfBWIhwj8DyTTISC7bHZtucrqTjG5BQYy9fckcjWF8rRXGUuE9UtoHUv3OLZMdzLgMMOQUsyQUpF3TRTEL3kVKJuLWYR6zy6D02zZHPbM7gX3XWYstYJBN4UhKGfqxWd5NikeH61rzmxNTWx3gia03pGoUxtjY0hkFEugQPFz18SOeDILTCigWrE0RSxfStqZWIljR808xZcIccaMePTvVA3bQu5wYEkgSmw.h8u3LTvnUotpEb4oysiGTVWU4eBr8OHdMKUq3hv2-hU&dib_tag=se&qid=1725742191&refinements=p_89%3AOPPO&s=electronics&sr=1-18&language=en_AE,https://m.media-amazon.com/images/I/51jGptxULlL._AC_SL1500_.jpg,"[{'reviewer_name': 'Ahmed Mohamed', 'review_rating': '5.0 out of 5 stars', 'review_title': '5.0 out of 5 stars\nGreat product', 'review_text': 'Tge device is amazing and delivered so quickly, I really like it\nRead more', 'review_date': 'Reviewed in Egypt on 21 June 2022'}, {'reviewer_name': 'karim mohamed', 'review_rating': '1.0 out of 5 stars', 'review_title': '1.0 out of 5 stars\nالجهاز مستخدم و العلبه مفتوحه و بدون ضمان و لما دخلت السيريال علي موقع اوبو الجهاز مستخدم من شهر 8', 'review_text': 'الجهاز مستخدم و العلبه مفتوحه و بدون ضمان و لما دخلت السيريال علي موقع اوبو الجهاز مستخدم من شهر 8\nRead more', 'review_date': 'Reviewed in Egypt on 28 October 2022'}, {'reviewer_name': 'SHERIF SAMIR IBRAHIM', 'review_rating': '4.0 out of 5 stars', 'review_title': '4.0 out of 5 stars\nموبيل ممتاز وبائع محترم شكرا 🌹الجمرك', 'review_text': 'بائع محترم الجمرك\nRead more', 'review_date': 'Reviewed in Egypt on 24 March 2023'}, {'reviewer_name': 'Haitham Elabed Abd Elhady', 'review_rating': '3.0 out of 5 stars', 'review_title': '3.0 out of 5 stars\nOppo', 'review_text': 'هو تليفون حلوبس هو هو نفس ابو a92\nRead more', 'review_date': 'Reviewed in Egypt on 28 April 2023'}, {'reviewer_name': 'Mostafa', 'review_rating': '5.0 out of 5 stars', 'review_title': '5.0 out of 5 stars\nممتاز', 'review_text': 'شكرا امازون وصلني المنتج بحاله ممتازه و سعره مميز\nRead more', 'review_date': 'Reviewed in Egypt on 29 May 2022'}, {'reviewer_name': 'محمود', 'review_rating': '1.0 out of 5 stars', 'review_title': '1.0 out of 5 stars\nاني مش اول حد يستخدمه مفتوح قبل قده عليه اتنين', 'review_text': 'منتج زي الزفت مفتوح قبل قده عليه اتنين لزاقا على العلبه\nRead more', 'review_date': 'Reviewed in Egypt on 23 October 2022'}, {'reviewer_name': 'Mido', 'review_rating': '5.0 out of 5 stars', 'review_title': '5.0 out of 5 stars\nجيد', 'review_text': 'سرعت التوصل\nRead more', 'review_date': 'Reviewed in Egypt on 19 August 2022'}, {'reviewer_name': 'البحراوى أبوآدم', 'review_rating': '4.0 out of 5 stars', 'review_title': '4.0 out of 5 stars\nجهاز جميل', 'review_text': 'جهاز متكامل بكل حاجته\nRead more', 'review_date': 'Reviewed in Egypt on 4 November 2022'}]",Amazon EG
OPPO Reno 12F 5G (256GB - 12GB) - Amber Orange,OPPO,,,,12 GB,,,,,,,Dual SIM,,,,Orange,"EGP12,760.00","EGP13,349.00",EGP,2.4 out of 5 stars,https://www.amazon.eg/-/en/OPPO-Reno-12F-5G-256GB/dp/B0D9KRFFV1/ref=sr_1_4?dib=eyJ2IjoiMSJ9.4XvmNPjJXr2AsWihyksz1_GKqhy-fMv8GwHkOwSF-xwEL_HZ5xUIRifSRfukfNxfKH3wxB4IfBWIhwj8DyTTISC7bHZtucrqTjG5BQYy9fckcjWF8rRXGUuE9UtoHUv3OLZMdzLgMMOQUsyQUpF3TRTEL3kVKJuLWYR6zy6D02zZHPbM7gX3XWYstYJBN4UhKGfqxWd5NikeH61rzmxNTWx3gia03pGoUxtjY0hkFEugQPFz18SOeDILTCigWrE0RSxfStqZWIljR808xZcIccaMePTvVA3bQu5wYEkgSmw.h8u3LTvnUotpEb4oysiGTVWU4eBr8OHdMKUq3hv2-hU&dib_tag=se&qid=1725742191&refinements=p_89%3AOPPO&s=electronics&sr=1-4&language=en_AE,https://m.media-amazon.com/images/I/518W2EY7-7L._AC_SL1000_.jpg,"[{'reviewer_name': 'user-MHWXUG1', 'review_rating': '1.0 out of 5 stars', 'review_title': '1.0 out of 5 stars\nاحذر منه', 'review_text': 'بائع غير امين تم استبدال الموبيل بعلبة شاى ده اللى حصل معايا مش عايزين تكتبوه ليه\nRead more', 'review_date': 'Reviewed in Egypt on 1 September 2024'}, {'reviewer_name': 'هاتف في منتهي الجمال والروعه وانصح بشراءه شكرا امازون', 'review_rating': '5.0 out of 5 stars', 'review_title': '5.0 out of 5 stars\nجهاز رائع وجميل', 'review_text': 'الثقه الكامله شكرا امازون\nRead more', 'review_date': 'Reviewed in Egypt on 1 September 2024'}, {'reviewer_name': 'abdallah ahmed', 'review_rating': '1.0 out of 5 stars', 'review_title': '1.0 out of 5 stars\nفريم الليد حول الكاميرا لايعمل مع التطبيقات يعمل فقط عند ضبطه في الاعدادات ولا يعمل بعد ذلك', 'review_text': 'فريم الليد حول الكاميرا الجديد لايعمل مع التطبيقات يعمل فقط عند ضبطه في الاعدادات ولا يعمل بعد ذلك\nRead more', 'review_date': 'Reviewed in Egypt on 1 August 2024'}, {'reviewer_name': 'قطعه واحده بس', 'review_rating': '1.0 out of 5 stars', 'review_title': '1.0 out of 5 stars\nمعرفه الضمان', 'review_text': 'بضمان ولا دولي\nRead more', 'review_date': 'Reviewed in Egypt on 4 August 2024'}, {'reviewer_name': 'عمرو فتح الله', 'review_rating': '5.0 out of 5 stars', 'review_title': '5.0 out of 5 stars\nافضل سعر مقابل جوده', 'review_text': 'يستحق الشراء\nRead more', 'review_date': 'Reviewed in Egypt on 26 July 2024'}]",Amazon EG
"Oppo Reno 12F 4G, 8GB Ram Snapdragon 685, 256GB Storage, 5000mAh & Dual SIM Slot - Matte Grey",,,,,,,,,,,,,,,,,"EGP10,475.00",,EGP,5.0 out of 5 stars,https://www.amazon.eg/-/en/Oppo-Snapdragon-256GB-Storage-5000mAh/dp/B0DCW7R8QC/ref=sr_1_5?dib=eyJ2IjoiMSJ9.4XvmNPjJXr2AsWihyksz1_GKqhy-fMv8GwHkOwSF-xwEL_HZ5xUIRifSRfukfNxfKH3wxB4IfBWIhwj8DyTTISC7bHZtucrqTjG5BQYy9fckcjWF8rRXGUuE9UtoHUv3OLZMdzLgMMOQUsyQUpF3TRTEL3kVKJuLWYR6zy6D02zZHPbM7gX3XWYstYJBN4UhKGfqxWd5NikeH61rzmxNTWx3gia03pGoUxtjY0hkFEugQPFz18SOeDILTCigWrE0RSxfStqZWIljR808xZcIccaMePTvVA3bQu5wYEkgSmw.h8u3LTvnUotpEb4oysiGTVWU4eBr8OHdMKUq3hv2-hU&dib_tag=se&qid=1725742191&refinements=p_89%3AOPPO&s=electronics&sr=1-5&language=en_AE,https://m.media-amazon.com/images/I/417+9I-0j8L._AC_SY300_SX300_.jpg,"[{'reviewer_name': 'شيماء شعبان محمد', 'review_rating': '5.0 out of 5 stars', 'review_title': '5.0 out of 5 stars\nجميل', 'review_text': 'التليفون جميل وخفيف ووصل في ميعاده ومناسب جداااااااااا لتمنه\nRead more', 'review_date': 'Reviewed in Egypt on 22 August 2024'}]",Amazon EG
