Title,Brand,OS,RAM,CPU,Storage,Screen Size,Resolution,CPU Speed,Refresh Rate,Model,Wireless Technology,SIM Count,Wireless Provider,Cellular Technology,Camera,Color,Price,Price Before Promotion,Currancy,Rate,URL,IMG,Reviews,Website
"Xiaomi Poco F6 5G + 4G LTE 512GB + 12GB Global Version Unlocked 6.67"" 120Hz 50Mp Triple Camera (Tmobile Mint Tello & Global) + (w/Fast Car 51W Bundle) (Titanium Global ROM)",Xiaomi,Powered by Xiaomi HyperOS,,,511.99 GB,6.67 Inches,2712 x 1220,3E+3 MHz,120 hertz,,,,3,"5G, 4G",,Mint,"EGP20,299.00","EGP21,750.00",EGP,3.3 out of 5 stars,https://www.amazon.eg/-/en/Xiaomi-Version-Unlocked-Tmobile-Titanium/dp/B0D5VM8S1K/ref=sr_1_22?dib=eyJ2IjoiMSJ9.0qFtI1M2holJP3blSHfBft3mCv_VUxYGXA0cSuyWujUDUTtYE7gY2q8rqAes4-Nbbb5wvnn8eCb3foXCxJ5GOoa5uCHSaEXYpthtjjRCoPFLLVbv4UPpSIFFmnY1wwhLRKdTfJn2mqcJ6J74nD4F725Oly6jtqPyc_kox6-x8UslgW-9mnyhEcQFqudq53923oOG0eSXwSza9b4WsRCR657oSOmBDNPAhfphL7XG5YRAsU5c5pTJWGyQZxKeUu6J7-9XFdbHIWDZhBbMUCmtJhwfHUczL53arm0b3DrY0jM.pJvvc1jbFb-jvxu5Q2S2A3-Zfo-QJ6TGJZXXENx28VM&dib_tag=se&qid=1725741434&refinements=p_89%3AXiaomi&s=electronics&sr=1-22&language=en_AE,https://m.media-amazon.com/images/I/510khecAijL._AC_SL1011_.jpg,"[{'reviewer_name': 'Marco Medhat', 'review_rating': '4.0 out of 5 stars', 'review_title': '4.0 out of 5 stars\nالجهاز وصل سليم ومعاه كل حاجته', 'review_text': 'الجهاز وصل سليم ومعاه كل حاجته الضمان وكل مشتملات العلبة\nRead more', 'review_date': 'Reviewed in Egypt on 31 July 2024'}]",Amazon EG
"Xiaomi Poco F6 5G + 4G LTE 512GB + 12GB Global Version Unlocked 6.67"" 120Hz 50Mp Triple Camera (Tmobile Mint Tello & Global) + (w/Fast Car 51W Bundle) (Green)",Xiaomi,Android 13.0,,A-Series,512 GB,6.67 Inches,2712 x 1220,3E+3 MHz,120 hertz,poco f6,,,Unlocked,,,Mint,"EGP20,888.00",,EGP,Previous page,https://www.amazon.eg/-/en/Xiaomi-Global-Version-Unlocked-Tmobile/dp/B0D5VNQGXJ/ref=sr_1_21?dib=eyJ2IjoiMSJ9.0qFtI1M2holJP3blSHfBft3mCv_VUxYGXA0cSuyWujUDUTtYE7gY2q8rqAes4-Nbbb5wvnn8eCb3foXCxJ5GOoa5uCHSaEXYpthtjjRCoPFLLVbv4UPpSIFFmnY1wwhLRKdTfJn2mqcJ6J74nD4F725Oly6jtqPyc_kox6-x8UslgW-9mnyhEcQFqudq53923oOG0eSXwSza9b4WsRCR657oSOmBDNPAhfphL7XG5YRAsU5c5pTJWGyQZxKeUu6J7-9XFdbHIWDZhBbMUCmtJhwfHUczL53arm0b3DrY0jM.pJvvc1jbFb-jvxu5Q2S2A3-Zfo-QJ6TGJZXXENx28VM&dib_tag=se&qid=1725741434&refinements=p_89%3AXiaomi&s=electronics&sr=1-21&language=en_AE,https://m.media-amazon.com/images/I/516KMNsDvrL.__AC_SX300_SY300_QL70_ML2_.jpg,[],Amazon EG
"Xiaomi Poco M6 Pro 4G LTE GSM (256GB + 8GB) 64MP Triple Camera 6.67"" Octa Core (Tmobile Mint Tello Global) Unlocked + (Bundle Fast Car Charger) (Black Global ROM)",Xiaomi,,,,8 GB,6.67 Inches,,,,POCO M6 PRO,LTE,,Unlocked,,,Mint,"EGP11,999.00",,EGP,4.5 out of 5 stars,https://www.amazon.eg/-/en/Xiaomi-Triple-Tmobile-Unlocked-Charger/dp/B0CR4QCBBV/ref=sr_1_43?dib=eyJ2IjoiMSJ9.GG-u7mebZFQygTZUICMi3XbtP9noqKcM8xUZU99qibzNYSJH7rwjhmSs9mtI0btrHzx4RKmtvpDSXA77oPqCg5GkiJx5ysyzCJe9Xzn6zUuk80NVZUBG5G9DiexbHGlhNFYUkqzgydJ8a4ilU2GDw5DL3poVCzPZ6U-7LwjoN25gCwvcyp4Figk9LVF2z-5hUwnQl5indfa7QUdiSkW6jgP6aNHrltAmmTNLdZaIhOEdNbkpGMgL4iqdh6818B1_svN_bOmA3v321CoEIwNPdfa7cw4v33QbMvAwo_dhgW4.5RyAKmKQblMO6SlW-BOiD5a4TxGfTyRlOMcinFlwb1M&dib_tag=se&qid=1725741437&refinements=p_89%3AXiaomi&s=electronics&sr=1-43&language=en_AE,https://m.media-amazon.com/images/I/51GYXsNLNNL._AC_SL1000_.jpg,[],Amazon EG
Xiaomi Redmi 13C (8Gb Ram + 256Gb Ram) 168 X 78 X 8.1 Mm Midnight Black,Xiaomi,"MIUI 12.5, Android 11.0",8 GB,Snapdragon,256 GB,6.74 Inches,720 x 1600,,90 Hz,13C,,,Unlocked for All Carriers,,,Midnight Black,"8,199.",,EGP,4.0 out of 5 stars,https://www.amazon.eg/-/en/Xiaomi-Redmi-13C-256Gb-Midnight/dp/B0CNRQRJKM/ref=sr_1_11?dib=eyJ2IjoiMSJ9.0qFtI1M2holJP3blSHfBft3mCv_VUxYGXA0cSuyWujUDUTtYE7gY2q8rqAes4-Nbbb5wvnn8eCb3foXCxJ5GOoa5uCHSaEXYpthtjjRCoPFLLVbv4UPpSIFFmnY1wwhLRKdTfJn2mqcJ6J74nD4F725Oly6jtqPyc_kox6-x8UslgW-9mnyhEcQFqudq53923oOG0eSXwSza9b4WsRCR657oSOmBDNPAhfphL7XG5YRAsU5c5pTJWGyQZxKeUu6J7-9XFdbHIWDZhBbMUCmtJhwfHUczL53arm0b3DrY0jM.pJvvc1jbFb-jvxu5Q2S2A3-Zfo-QJ6TGJZXXENx28VM&dib_tag=se&qid=1725741434&refinements=p_89%3AXiaomi&s=electronics&sr=1-11&language=en_AE,https://m.media-amazon.com/images/I/51O4eb7IRTL._AC_SL1000_.jpg,"[{'reviewer_name': 'gamal mansy', 'review_rating': '5.0 out of 5 stars', 'review_title': '5.0 out of 5 stars\nهل يدعم خاصية الــــــــــــ NFC', 'review_text': 'هل يدعم خاصية ال NFC\nRead more', 'review_date': 'Reviewed in Egypt on 26 August 2024'}, {'reviewer_name': 'محمد', 'review_rating': '5.0 out of 5 stars', 'review_title': '5.0 out of 5 stars\nمواصفاته', 'review_text': 'ممتاز بالنسبة لسعره\nRead more', 'review_date': 'Reviewed in Egypt on 25 April 2024'}, {'reviewer_name': 'Abuelhassan Elasd', 'review_rating': '5.0 out of 5 stars', 'review_title': '5.0 out of 5 stars\nتحفه', 'review_text': 'تليفون جميل\nRead more', 'review_date': 'Reviewed in Egypt on 31 March 2024'}]",Amazon EG
"Xiaomi Redmi Note 11 Pro 4G Volte 128GB, 8GB 108MP Camera Night Mode Phone (Polar White, 6.67In), Bluetooth",Xiaomi,Android 10.0,8 GB,Snapdragon,8 GB,6.67 Inches,1080 x 2400,2.5 GHz,144 Hz,Redmi Note 11 Pro,,,,,,Blue,"EGP11,999.00",,EGP,4.5 out of 5 stars,https://www.amazon.eg/-/en/Xiaomi-Redmi-Note-11-Pro/dp/B09Y9G2ZRY/ref=sr_1_42?dib=eyJ2IjoiMSJ9.GG-u7mebZFQygTZUICMi3XbtP9noqKcM8xUZU99qibzNYSJH7rwjhmSs9mtI0btrHzx4RKmtvpDSXA77oPqCg5GkiJx5ysyzCJe9Xzn6zUuk80NVZUBG5G9DiexbHGlhNFYUkqzgydJ8a4ilU2GDw5DL3poVCzPZ6U-7LwjoN25gCwvcyp4Figk9LVF2z-5hUwnQl5indfa7QUdiSkW6jgP6aNHrltAmmTNLdZaIhOEdNbkpGMgL4iqdh6818B1_svN_bOmA3v321CoEIwNPdfa7cw4v33QbMvAwo_dhgW4.5RyAKmKQblMO6SlW-BOiD5a4TxGfTyRlOMcinFlwb1M&dib_tag=se&qid=1725741437&refinements=p_89%3AXiaomi&s=electronics&sr=1-42&language=en_AE,https://m.media-amazon.com/images/I/61vIV+riREL._AC_SL1500_.jpg,"[{'reviewer_name': 'AX', 'review_rating': '2.0 out of 5 stars', 'review_title': '2.0 out of 5 stars\nBroken glitchy display', 'review_text': ""I loved this phone but after just three or four days of use the display stopped working.I don't know if it's a hardware glitch or what. I've started my return. I hope that they will honor it and replace the item or give me my money back in a timely fashion.\nRead more"", 'review_date': 'Reviewed in Egypt on 30 November 2023'}, {'reviewer_name': 'Hamza Mahmoud', 'review_rating': '5.0 out of 5 stars', 'review_title': '5.0 out of 5 stars\nريدمي نوت 11برو هاتف جدير بالثقة Hamza Mahmoud', 'review_text': 'شركه شاومي على العموم شركة اثباتات وجوده في أغلب الدول شركة محترمة عن تجربتي الشخصية مع منتجاتها.وعلى النحو الخاص مع تجربتي مع هاتف ريدمي نوت 11برو كانت والحمد لله كويسة هاتف بطارية ممتازه شبكة واتصال سريع الهاتف ضمان الحمدلله كان ضمن محلي وليس دولي وقمت بعمل ضمان على الشاشة 6 أشهر..أما عن شركة نون شركة محترمة في كل منتجاتة وانشاء الله من أفضل إلى أفضل شكراً نون 🌹\nRead more', 'review_date': 'Reviewed in Egypt on 12 January 2024'}]",Amazon EG
"Redmi Note 13 Pro 8GB RAM, 256 - Ultra-clear 200MP camera with OIS - 120Hz FHD+AMOLED display 6.67"" Midnight Black",Xiaomi,Android 13.0,,,256 GB,6.67 Inches,,,,Redmi Note 13 Pro,LTE,Dual SIM,3,4G,200MP,Midnight Black,"8,199.",,EGP,4.6 out of 5 stars,https://www.amazon.eg/-/en/Redmi-Note-Midnight-Black-Storage/dp/B0CQKCQ8PH/ref=sr_1_6?dib=eyJ2IjoiMSJ9.0qFtI1M2holJP3blSHfBft3mCv_VUxYGXA0cSuyWujUDUTtYE7gY2q8rqAes4-Nbbb5wvnn8eCb3foXCxJ5GOoa5uCHSaEXYpthtjjRCoPFLLVbv4UPpSIFFmnY1wwhLRKdTfJn2mqcJ6J74nD4F725Oly6jtqPyc_kox6-x8UslgW-9mnyhEcQFqudq53923oOG0eSXwSza9b4WsRCR657oSOmBDNPAhfphL7XG5YRAsU5c5pTJWGyQZxKeUu6J7-9XFdbHIWDZhBbMUCmtJhwfHUczL53arm0b3DrY0jM.pJvvc1jbFb-jvxu5Q2S2A3-Zfo-QJ6TGJZXXENx28VM&dib_tag=se&qid=1725741434&refinements=p_89%3AXiaomi&s=electronics&sr=1-6&language=en_AE,https://m.media-amazon.com/images/I/51G7tyeELvL._AC_SL1088_.jpg,"[{'reviewer_name': 'ممتاز جداا', 'review_rating': '5.0 out of 5 stars', 'review_title': '5.0 out of 5 stars\nتجربة ممتازة', 'review_text': 'انا يعتبر أول مرة اشتري من امازون موبايلات ولكن بجد الخدمة ممتازة وانا كنت متردد قبل ما اشتري ولكن بصراحه مش ندمان اني اشتريت التلفون من امازون، تجربة لطيفة بصراحة والدليفري كان ذووق ومحترم،شكرا امازون 🤍\nRead more', 'review_date': 'Reviewed in Egypt on 26 August 2024'}, {'reviewer_name': 'The-Guide', 'review_rating': '5.0 out of 5 stars', 'review_title': '5.0 out of 5 stars\nالموبيل تحفة والتوصيل في الميعاد،، Redime realy great', 'review_text': 'الموبيل تحفة والتوصيل في الميعاد،، Redime realy great\nRead more', 'review_date': 'Reviewed in Egypt on 21 July 2024'}, {'reviewer_name': 'Mahmoud Ibrahim', 'review_rating': '5.0 out of 5 stars', 'review_title': '5.0 out of 5 stars\nجيد جدآ', 'review_text': 'ممتاز\nRead more', 'review_date': 'Reviewed in Egypt on 28 May 2024'}, {'reviewer_name': 'Eslam Nour', 'review_rating': '3.0 out of 5 stars', 'review_title': '3.0 out of 5 stars\nمناسب لسعره', 'review_text': 'مشكلته ان شحنه بطيء  مقارنة بشاومي 11 و 12 و13 بلاس ال120 واطبس ما دون ذلك هو كويس ومناسب للشباب والكبار ومواكب للتطور اللي بتحتاجه في معظم الشغل غموما\nRead more', 'review_date': 'Reviewed in Egypt on 6 June 2024'}, {'reviewer_name': 'Emad Adel', 'review_rating': '2.0 out of 5 stars', 'review_title': '2.0 out of 5 stars\nلم يتم ارسال الفاتورة - برجاء ارسال الفاتورة', 'review_text': 'لم يتم ارسال الفاتورة - برجاء ارسال الفاتورة\nRead more', 'review_date': 'Reviewed in Egypt on 29 August 2024'}, {'reviewer_name': 'مدحت غباشي', 'review_rating': '1.0 out of 5 stars', 'review_title': '1.0 out of 5 stars\nمن أسواء الموبايلات بطاريه بتهرب شحن وشبكة زباله وشاشه ازبل', 'review_text': 'من أسواء الموبايلات بطاريه بتهرب شحن وشبكة زباله وشاشه ازبل\nRead more', 'review_date': 'Reviewed in Egypt on 24 August 2024'}, {'reviewer_name': 'ابو ادم', 'review_rating': '2.0 out of 5 stars', 'review_title': '2.0 out of 5 stars\nكاميرا ضعيفه جدا وبطاريه اضعف', 'review_text': 'البطاريه جربتها ٣ يوم ولا تكمل حتي يوم عادي مع استخدام قليل جداالكاميرا الاماميه استحاله تكون ١٦ ميجا بيكسل اضعف حتي من اقل اصدار لنوكيا تجربه لن تجربها وتليفون لا يستاهل القيمه الماليه ابدا\nRead more', 'review_date': 'Reviewed in Egypt on 4 June 2024'}, {'reviewer_name': 'walid', 'review_rating': '1.0 out of 5 stars', 'review_title': '1.0 out of 5 stars\nmanipulation', 'review_text': 'i received my phone without warranty also with old version not snapdragon as mentioned in description\nRead more', 'review_date': 'Reviewed in Egypt on 9 June 2024'}]",Amazon EG
"MI NOTE 12S 8GB RAM, 256 GB ROM - ONYX BLACK",Xiaomi,android 13.0,8 GB,Snapdragon,256 GB,6.43 Inches,1080 x 2400,,90 Hz,NOTE 12S - ONYX BLACK,,,3,,,Black,"8,922.",,EGP,4.1 out of 5 stars,https://www.amazon.eg/-/en/NOTE-12S-8GB-RAM-256/dp/B0C4P9W7KD/ref=sr_1_26?dib=eyJ2IjoiMSJ9.GG-u7mebZFQygTZUICMi3XbtP9noqKcM8xUZU99qibzNYSJH7rwjhmSs9mtI0btrHzx4RKmtvpDSXA77oPqCg5GkiJx5ysyzCJe9Xzn6zUuk80NVZUBG5G9DiexbHGlhNFYUkqzgydJ8a4ilU2GDw5DL3poVCzPZ6U-7LwjoN25gCwvcyp4Figk9LVF2z-5hUwnQl5indfa7QUdiSkW6jgP6aNHrltAmmTNLdZaIhOEdNbkpGMgL4iqdh6818B1_svN_bOmA3v321CoEIwNPdfa7cw4v33QbMvAwo_dhgW4.5RyAKmKQblMO6SlW-BOiD5a4TxGfTyRlOMcinFlwb1M&dib_tag=se&qid=1725741437&refinements=p_89%3AXiaomi&s=electronics&sr=1-26&language=en_AE,https://m.media-amazon.com/images/I/61cKUEmKctL._AC_SL1500_.jpg,"[{'reviewer_name': 'Taha', 'review_rating': '1.0 out of 5 stars', 'review_title': '1.0 out of 5 stars\nمنتج سئ', 'review_text': 'منتج مختلف خالص عن اللي طالبه\nRead more', 'review_date': 'Reviewed in Egypt on 18 December 2023'}, {'reviewer_name': 'احمد سلامه محمد', 'review_rating': '1.0 out of 5 stars', 'review_title': '1.0 out of 5 stars\nتاخير فى التسليم', 'review_text': 'لا يوجد اهتمام بخدمه التوصيل وخدمه العملاء فى حل المشكلات وتاخير الطلبات تم الطلب بتاريخ 29/11/2023 ولم يتم الاستلام حتى تاريخه\nRead more', 'review_date': 'Reviewed in Egypt on 3 December 2023'}, {'reviewer_name': 'Hebaallah ezzat', 'review_rating': '5.0 out of 5 stars', 'review_title': '5.0 out of 5 stars\nحبيته اوي', 'review_text': 'جميل جدا جدا ♥️♥️\nRead more', 'review_date': 'Reviewed in Egypt on 15 August 2023'}]",Amazon EG
"Xiaomi - Redmi Note 11 128GB, 4GB RAM, WiFi, Pioneer Modi 90Hz, Blue, 50MP Camera",Xiaomi,Android 11.0,4 GB,Snapdragon,4 GB,,1080 x 2400,,90 Hz,Note 11,,,Unlocked for All Carriers,4G,,Blue,"3,999.",,EGP,4.7 out of 5 stars,https://www.amazon.eg/-/en/Xiaomi-Redmi-128GB-Pioneer-Camera/dp/B09QSC4HN9/ref=sr_1_37?dib=eyJ2IjoiMSJ9.GG-u7mebZFQygTZUICMi3XbtP9noqKcM8xUZU99qibzNYSJH7rwjhmSs9mtI0btrHzx4RKmtvpDSXA77oPqCg5GkiJx5ysyzCJe9Xzn6zUuk80NVZUBG5G9DiexbHGlhNFYUkqzgydJ8a4ilU2GDw5DL3poVCzPZ6U-7LwjoN25gCwvcyp4Figk9LVF2z-5hUwnQl5indfa7QUdiSkW6jgP6aNHrltAmmTNLdZaIhOEdNbkpGMgL4iqdh6818B1_svN_bOmA3v321CoEIwNPdfa7cw4v33QbMvAwo_dhgW4.5RyAKmKQblMO6SlW-BOiD5a4TxGfTyRlOMcinFlwb1M&dib_tag=se&qid=1725741437&refinements=p_89%3AXiaomi&s=electronics&sr=1-37&language=en_AE,https://m.media-amazon.com/images/I/71bru4lFzzL._AC_SL1500_.jpg,"[{'reviewer_name': 'Esraa Hamdy', 'review_rating': '5.0 out of 5 stars', 'review_title': '5.0 out of 5 stars\nممتاز', 'review_text': 'موبايل جميل\nRead more', 'review_date': 'Reviewed in Egypt on 16 November 2023'}, {'reviewer_name': 'user-MZTWCH1', 'review_rating': '5.0 out of 5 stars', 'review_title': '5.0 out of 5 stars\nممتاز التعامل وتم الوصول قبل الميعاد بيوم', 'review_text': 'التعامل ممتاز والتلفون وصل قبل الميعاد بيوم وفي حاله جيده\nRead more', 'review_date': 'Reviewed in Egypt on 6 September 2022'}, {'reviewer_name': 'Ezra', 'review_rating': '5.0 out of 5 stars', 'review_title': '5.0 out of 5 stars\nLooks good', 'review_text': ""Camera isn't as good as I thought\nRead more"", 'review_date': 'Reviewed in Egypt on 6 July 2022'}, {'reviewer_name': 'Islam Fathy', 'review_rating': '5.0 out of 5 stars', 'review_title': '5.0 out of 5 stars\nكما ف الوصف', 'review_text': 'ممتاز\nRead more', 'review_date': 'Reviewed in Egypt on 11 September 2022'}, {'reviewer_name': 'mhafz', 'review_rating': '4.0 out of 5 stars', 'review_title': '4.0 out of 5 stars\nموبيل محترم', 'review_text': 'موبيل جيد ولكن لايدعم Nfc الكامرة 50 ميجا ليس احسن صورةاما عن امازون ناس محترمة في التعامل\nRead more', 'review_date': 'Reviewed in Egypt on 26 March 2022'}, {'reviewer_name': 'Mostafa Abdel-Hameed', 'review_rating': '5.0 out of 5 stars', 'review_title': '5.0 out of 5 stars\nNicee n good', 'review_text': 'Very good\nRead more', 'review_date': 'Reviewed in Egypt on 22 April 2022'}, {'reviewer_name': 'Heba', 'review_rating': '2.0 out of 5 stars', 'review_title': '2.0 out of 5 stars\nسيء', 'review_text': 'بيهنج كتير وبيعمل ريستارت لوحده\nRead more', 'review_date': 'Reviewed in Egypt on 30 March 2023'}, {'reviewer_name': 'Remon Youssef', 'review_rating': '3.0 out of 5 stars', 'review_title': '3.0 out of 5 stars\nيوجد ضمان محلى', 'review_text': 'بضمان\nRead more', 'review_date': 'Reviewed in Egypt on 2 December 2022'}]",Amazon EG
"Xiaomi Redmi Note 11 Pro 4G (Star Blue, 8GB RAM, 128 GB Storage)- 120Hz, FHD+ AMOLED DotDisplay | 108mp with 2mp macro camera",Xiaomi,MIUI 12,8 GB,Snapdragon,6 GB,6.67 Inches,1080 x 2400,2.05 GHz,120 GHz,Redmi Note 11 Pro 4G,,,,,,Blue,"EGP11,999.00",,EGP,Previous page,https://www.amazon.eg/-/en/Xiaomi-Redmi-Note-11-Pro/dp/B09WMN6YL2/ref=sr_1_39?dib=eyJ2IjoiMSJ9.GG-u7mebZFQygTZUICMi3XbtP9noqKcM8xUZU99qibzNYSJH7rwjhmSs9mtI0btrHzx4RKmtvpDSXA77oPqCg5GkiJx5ysyzCJe9Xzn6zUuk80NVZUBG5G9DiexbHGlhNFYUkqzgydJ8a4ilU2GDw5DL3poVCzPZ6U-7LwjoN25gCwvcyp4Figk9LVF2z-5hUwnQl5indfa7QUdiSkW6jgP6aNHrltAmmTNLdZaIhOEdNbkpGMgL4iqdh6818B1_svN_bOmA3v321CoEIwNPdfa7cw4v33QbMvAwo_dhgW4.5RyAKmKQblMO6SlW-BOiD5a4TxGfTyRlOMcinFlwb1M&dib_tag=se&qid=1725741437&refinements=p_89%3AXiaomi&s=electronics&sr=1-39&language=en_AE,https://m.media-amazon.com/images/I/512C1yLtkXL._AC_SL1000_.jpg,[],Amazon EG
"Xiaomi Redmi A2+ Dual SIM Smartphone, 3GB RAM, 64GB ROM, Sleek Design, High-Resolution Display, Efficient Performance, and Long Battery Life for a Seamless Mobile Experience in Black",Xiaomi,Android 13.0,3 GB,Snapdragon,64 GB,6.52 Inches,2400 x 1080,,70 Hz,Redmi A2+/ 64GB - Black,,,3,,,Black,"EGP3,949.00",,EGP,3.7 out of 5 stars,https://www.amazon.eg/-/en/Xiaomi-Smartphone-High-Resolution-Performance-Experience/dp/B0CF2FYG43/ref=sr_1_10?dib=eyJ2IjoiMSJ9.0qFtI1M2holJP3blSHfBft3mCv_VUxYGXA0cSuyWujUDUTtYE7gY2q8rqAes4-Nbbb5wvnn8eCb3foXCxJ5GOoa5uCHSaEXYpthtjjRCoPFLLVbv4UPpSIFFmnY1wwhLRKdTfJn2mqcJ6J74nD4F725Oly6jtqPyc_kox6-x8UslgW-9mnyhEcQFqudq53923oOG0eSXwSza9b4WsRCR657oSOmBDNPAhfphL7XG5YRAsU5c5pTJWGyQZxKeUu6J7-9XFdbHIWDZhBbMUCmtJhwfHUczL53arm0b3DrY0jM.pJvvc1jbFb-jvxu5Q2S2A3-Zfo-QJ6TGJZXXENx28VM&dib_tag=se&qid=1725741434&refinements=p_89%3AXiaomi&s=electronics&sr=1-10&language=en_AE,https://m.media-amazon.com/images/I/71NA7Z6L7FL._AC_SL1500_.jpg,"[{'reviewer_name': 'برجاء التأكد من وجود الخرطوم', 'review_rating': '5.0 out of 5 stars', 'review_title': '5.0 out of 5 stars\nمنتج عالي الجوده', 'review_text': 'مطابق تماما واشكر امازون\nRead more', 'review_date': 'Reviewed in Egypt on 5 August 2024'}, {'reviewer_name': 'user-MKZKXG1', 'review_rating': '1.0 out of 5 stars', 'review_title': '1.0 out of 5 stars\nتليفون مقلب زباله', 'review_text': 'والله العظيم موبيل زباله وفي عيوب صناعه يا في الشاشه او الشاحن او الصوت والسطوع الشاشه زباله والصوت واطي جداا والمعالج ابطي من السحلفه وجاي من غير سماعه راس زاي مامكتوب ف الوصف فلوس واترمت ف الزباله\nRead more', 'review_date': 'Reviewed in Egypt on 31 May 2024'}, {'reviewer_name': 'Ahmed abdallah', 'review_rating': '5.0 out of 5 stars', 'review_title': '5.0 out of 5 stars\nممتاز', 'review_text': 'رائع في الاستخدام\nRead more', 'review_date': 'Reviewed in Egypt on 27 June 2024'}, {'reviewer_name': 'لبيب  GREEN', 'review_rating': '3.0 out of 5 stars', 'review_title': '3.0 out of 5 stars\nجيد  مقارنه بسعره', 'review_text': 'السماعه غير موجوده  اين  المصداقيه\nRead more', 'review_date': 'Reviewed in Egypt on 26 August 2024'}, {'reviewer_name': 'AhmedHas', 'review_rating': '5.0 out of 5 stars', 'review_title': '5.0 out of 5 stars\nروعة', 'review_text': 'جميل هذا المنتج وعملي\nRead more', 'review_date': 'Reviewed in Egypt on 5 December 2023'}, {'reviewer_name': 'بدوى الجوهرى', 'review_rating': '4.0 out of 5 stars', 'review_title': '4.0 out of 5 stars\nلايوجد سماعة راس بالتليفون كما هو منصوص بالعرض', 'review_text': 'التليفون مبدءيا كويس بس لايوجد معه سماعة الراس بالعلبه كما هو منصوص  بالعرض\nRead more', 'review_date': 'Reviewed in Egypt on 31 January 2024'}, {'reviewer_name': 'ashraf1950', 'review_rating': '5.0 out of 5 stars', 'review_title': '5.0 out of 5 stars\nممتاز', 'review_text': 'ممتاز\nRead more', 'review_date': 'Reviewed in Egypt on 2 January 2024'}, {'reviewer_name': 'جرجس دميان', 'review_rating': '1.0 out of 5 stars', 'review_title': '1.0 out of 5 stars\nقنا نقادة', 'review_text': 'مالهوش ضمان والتلفون فجأة باظ ومالهوش ضمان في توكيل شاومى\nRead more', 'review_date': 'Reviewed in Egypt on 30 July 2024'}]",Amazon EG
