Title,Brand,OS,RAM,CPU,Storage,Screen Size,Resolution,CPU Speed,Model,Wireless Technology,SIM Count,Wireless Provider,Cellular Technology,Camera,Color,Price,Price Before Promotion,Currancy,Rate,URL,IMG,Reviews,Website
Sam Galaxy A20s EU-DS-32-3-4G-bk | Samsung compatible Galaxy A20s EU A207F black,SAMSUNG,Android 9.0,,,3 GB,6.5 Inches,720 x 1560,,Samsung A20s A207F (2020) Dual Sim 32GB Black EU,"GSM, LTE",,,2G,,Black,€219.13,,€,4.4 out of 5 stars,https://www.amazon.nl/-/en/Galaxy-EU-DS-32-3-4G-bk-Samsung-compatible-A207F/dp/B08BG3GLXR/ref=sr_1_117?dib=eyJ2IjoiMSJ9.29yrQNstw3Kmfwo-MC3T_K2tUChVeap0hbYtY8ZexhWm6EcEvueoreyUm0cxdcRdzsgM9388dLmIUp0K0Y2jXLc6M00Tl3h9I542HfkSC6MrvtCuFOnYnjaEQJvD5kTfCfz7HyUoi4Ga4lAC_KTKntaQrdVj30dr7Kl3IGowOFVmjMZXDcfXIipq1sQyjvzaGf5C6z9SeY-4G2xUI9NY7K9mTytX7El5jigN9XITLw0d6oZFFSgImWsA_DVqovZSAJAp-ybbtmd7yGXyyTRdk_POJer8TeBHm6cY5g72SQg.QQHV7t0im7kJgvdTuuNlTWMcON4YXCSGFBLS7wkVzgE&dib_tag=se&m=A17D2BRD4YMT0X&qid=1725663116&refinements=p_4%3ASAMSUNG%2Cp_n_condition-type%3A17170958031%2Cp_123%3A46655%2Cp_6%3AA17D2BRD4YMT0X&s=electronics&sr=1-117&language=en_GB,https://m.media-amazon.com/images/I/71VKC+67iML._AC_SL1500_.jpg,"[{'reviewer_name': 'AHAMADA AHMED', 'review_rating': 'N/A', 'review_title': 'N/A', 'review_text': 'Oui c est un bon téléphone qui correspond bien à mon choix. Le prix, le design et la qualité. C est super\nRead more', 'review_date': 'Reviewed in France on 4 February 2021'}, {'reviewer_name': 'Rafael Reyes fernandez', 'review_rating': 'N/A', 'review_title': 'N/A', 'review_text': 'Esta bien\nRead more', 'review_date': 'Reviewed in Spain on 23 November 2021'}, {'reviewer_name': 'Vanessa Schönfelder', 'review_rating': 'N/A', 'review_title': 'N/A', 'review_text': 'Sehr schnelle Bearbeitung. Artikel auf einem Freitag bestellt. Selben Tag die Versandbestätigung erhalten. Samstag war das Handy da und alles ohne Prime.Ich bin mit dem Service und mit dem Handy sehr zufrieden.\nRead more', 'review_date': 'Reviewed in Germany on 6 December 2020'}, {'reviewer_name': 'Conteguccione', 'review_rating': 'N/A', 'review_title': 'N/A', 'review_text': ""E' un prodotto ottimo (il brand è sempre una garanzia). Velocità medio alta e finiture buone per il prezzo. Eccellente per la fascia di appartenenza e per coloro che sono abituati all'universo Samsung e non vogliono spendere molto. Leggero e molto sottile, somiglia ai modelli di fascia alta del brand. Non vi deluderà perché fa sempre il suo con agilità e senza impuntamenti. Samsung, come detto, è sempre garanzia di affidabilità.\nRead more"", 'review_date': 'Reviewed in Italy on 4 December 2020'}, {'reviewer_name': 'dodolik77', 'review_rating': 'N/A', 'review_title': 'N/A', 'review_text': '👍🏼\nRead more', 'review_date': 'Reviewed in Germany on 6 April 2022'}]",Amazon NL
Samsung Note20 LED View Cover,SAMSUNG,,,,,,,,,,,,,,Copper Brown,€42.99,,€,4.5 out of 5 stars,https://www.amazon.nl/-/en/Samsung-Note20-LED-View-Cover/dp/B08D6VK55Z/ref=sr_1_116?dib=eyJ2IjoiMSJ9.29yrQNstw3Kmfwo-MC3T_K2tUChVeap0hbYtY8ZexhWm6EcEvueoreyUm0cxdcRdzsgM9388dLmIUp0K0Y2jXLc6M00Tl3h9I542HfkSC6MrvtCuFOnYnjaEQJvD5kTfCfz7HyUoi4Ga4lAC_KTKntaQrdVj30dr7Kl3IGowOFVmjMZXDcfXIipq1sQyjvzaGf5C6z9SeY-4G2xUI9NY7K9mTytX7El5jigN9XITLw0d6oZFFSgImWsA_DVqovZSAJAp-ybbtmd7yGXyyTRdk_POJer8TeBHm6cY5g72SQg.QQHV7t0im7kJgvdTuuNlTWMcON4YXCSGFBLS7wkVzgE&dib_tag=se&m=A17D2BRD4YMT0X&qid=1725663116&refinements=p_4%3ASAMSUNG%2Cp_n_condition-type%3A17170958031%2Cp_123%3A46655%2Cp_6%3AA17D2BRD4YMT0X&s=electronics&sr=1-116&language=en_GB,https://m.media-amazon.com/images/I/81g2K1yHrHL._AC_SL1500_.jpg,"[{'reviewer_name': 'Pinyin', 'review_rating': 'N/A', 'review_title': 'N/A', 'review_text': 'Buena calidad, original de Samsung. Recomendable\nRead more', 'review_date': 'Reviewed in Spain on 3 September 2023'}, {'reviewer_name': ""Client d'Amazon"", 'review_rating': 'N/A', 'review_title': 'N/A', 'review_text': 'Après 5 mois d utilisation et toujours transporté dans une sacoche.de nombreuses griffes . petites taches et salissures très difficile à retirerLes modèles antérieures étaient plus solides\nRead more', 'review_date': 'Reviewed in France on 25 April 2023'}, {'reviewer_name': 'Tascha', 'review_rating': 'N/A', 'review_title': 'N/A', 'review_text': 'Alles wie erwartet super produkt.\nRead more', 'review_date': 'Reviewed in Germany on 15 April 2021'}, {'reviewer_name': 'Medulienka', 'review_rating': 'N/A', 'review_title': 'N/A', 'review_text': 'Very happy so far with my phone case. Phone looks really good.\nRead more', 'review_date': 'Reviewed in the United Kingdom on 1 September 2023'}, {'reviewer_name': 'angel33', 'review_rating': 'N/A', 'review_title': 'N/A', 'review_text': 'Excellent and genuine Samsung case.\nRead more', 'review_date': 'Reviewed in the United Kingdom on 4 December 2022'}]",Amazon NL
Samsung SM-A256 Galaxy A25 Dual SIM 5G 6GB RAM 128GB Blue Black EU,SAMSUNG,android,6 GB,,128 GB,6.5 Inches,,,,,,Unlocked,5G,,Black,€288.75,,€,4.5 out of 5 stars,https://www.amazon.nl/-/en/Samsung-SM-A256-Galaxy-128GB-Black/dp/B0CN12BMRW/ref=sr_1_2?dib=eyJ2IjoiMSJ9._38P4doI_dwPqmWAf6Cg50RGzpY4xRMdsQTY2fue4J3LA1rmGoCufPF8cQY5s2-TyQDCO9QfJowte634FVptXNDzuLc-EOOdMImNc6yZpsVGwiokt2MMuavBM5uMJ70_kivKhUZtUGgzQIX_f8Lh3A97fZPM-6Hls1LuM0EbMxmrACSWdr_L7iWSD59m0LUHX-2-_Etk6jqrDqdGd_sIke-5Y0KLzfdaWWdvPTTWm0bPhcVn_y47xw8sT8yVdIZlD2JSNTHQUmiSf9uPT8cH3DvTMjefdyL2MLxVlJWOi0s.s0Z7plUrybBMes7BDKo6Me5jrbKpcZFGzndofafe7uE&dib_tag=se&m=A17D2BRD4YMT0X&qid=1725663109&refinements=p_4%3ASAMSUNG%2Cp_n_condition-type%3A17170958031%2Cp_123%3A46655%2Cp_6%3AA17D2BRD4YMT0X&s=electronics&sr=1-2&language=en_GB,https://m.media-amazon.com/images/I/61lqJH6WTqL._AC_SL1500_.jpg,"[{'reviewer_name': 'Sebastiaan Vermeij', 'review_rating': 'N/A', 'review_title': 'N/A', 'review_text': 'Gute Preisleistung. Einfach tolles handy\nRead more', 'review_date': 'Reviewed in Germany on 26 August 2024'}, {'reviewer_name': 'Antonio Jesús Conejo', 'review_rating': 'N/A', 'review_title': 'N/A', 'review_text': 'Sin existencia presenta una calidad. La velocidad de las aplicaciones y la calidad del sonido y del vídeo es magnífica. Digna de un móvil de una calidad muy superior.Lo único que hay que reseñar como algo no demasiado positivo es que la batería no le dura tanto como debería y además se calienta más que otros móviles de esta misma marca que he tenido.Pero por ese precio la verdad es que es un móvil que no hay que pensárselo a la hora de comprarlo ya que tiene una calidad como los móviles de alta gama.\nRead more', 'review_date': 'Reviewed in Spain on 26 August 2024'}, {'reviewer_name': 'Yv', 'review_rating': 'N/A', 'review_title': 'N/A', 'review_text': 'Good mobile, better than expected for a 2nd mobile, good visibility outside, 4 years of software updates. The only thing missing is wireless charging and IP rating but for the price paid I won’t complain.\nRead more', 'review_date': 'Reviewed in the United Kingdom on 15 August 2024'}, {'reviewer_name': 'Perfecte levering, bedankt', 'review_rating': 'N/A', 'review_title': 'N/A', 'review_text': 'Correct product, snelle levering, goed opvolgbaar\nRead more', 'review_date': 'Reviewed in Belgium on 13 August 2024'}, {'reviewer_name': ""Client d'Amazon"", 'review_rating': 'N/A', 'review_title': 'N/A', 'review_text': ""Bon rapport qualité/prix. Qualité Samsung avec prix déjà en baisse, appareil photo très correct, pas de lag, bonne fluidité, bel écran. Parfait pour mon utilisation.Je tiens à préciser que le chargeur n'est pas fourni avec le smartphone, sauf le câble, et que c'est normal, comme beaucoup d'autres de marques de smartphone en 2024.\nRead more"", 'review_date': 'Reviewed in France on 15 June 2024'}]",Amazon NL
"Samsung Galaxy S22, Mobile Phone, 5G, 128GB, Lavender, SIM Card Not Included, Android Smartphone, FR Version",SAMSUNG,Android 12.0,,,8 GB,6.1 Inches,,,"S22 Lavender, 128 GB","GSM, CDMA, LTE",,Unlocked,"5G, 4G LTE",,lavender,€892.63,,€,4.2 out of 5 stars,https://www.amazon.nl/-/en/Samsung-Lavender-Included-Android-Smartphone/dp/B0B7K78YZ3/ref=sr_1_89?dib=eyJ2IjoiMSJ9.wLLVIcni-SJ9xpnEeWKynYzchCPGP9haMVMI5x2Y5Vac5g820iPtGPkLbVOp1RuJu77Tu3xWzVrN39S9rcGCoV1RJXVL75DxXFIZd-nhha7Bn7fAJLM0yhZo0lUQc2HU5zBP6UCVMNnV49WJJl5NbQN8YaFCiV-SRqDzSmwaqJmexVVfqgOR9Ad3YXAzgVv66eRSm6X5H1Jd0puscGe0uFOOC-uDN_n1PQU49H-pSAwQWmhEOu47LN451j1q7sHIAGn8U2tZvxeSul2qrqf4ZpZMGlq3RQyWza3Ga-cnwMA.mCN9kEE1DST8GHPFMz_GJdFKUvNrXKJkJx1HIL_TNzc&dib_tag=se&m=A17D2BRD4YMT0X&qid=1725663115&refinements=p_4%3ASAMSUNG%2Cp_n_condition-type%3A17170958031%2Cp_123%3A46655%2Cp_6%3AA17D2BRD4YMT0X&s=electronics&sr=1-89&language=en_GB,https://m.media-amazon.com/images/I/71izi4F1WNL._AC_SL1500_.jpg,"[{'reviewer_name': 'Anna', 'review_rating': 'N/A', 'review_title': 'N/A', 'review_text': 'Tutto ok\nRead more', 'review_date': 'Reviewed in Italy on 29 July 2023'}, {'reviewer_name': 'felice', 'review_rating': 'N/A', 'review_title': 'N/A', 'review_text': 'Affidabile.\nRead more', 'review_date': 'Reviewed in Italy on 13 July 2023'}, {'reviewer_name': 'Luca', 'review_rating': 'N/A', 'review_title': 'N/A', 'review_text': 'La batteria non dura molto, per il resto eccezionale\nRead more', 'review_date': 'Reviewed in Italy on 12 February 2023'}, {'reviewer_name': ""Client d'Amazon"", 'review_rating': 'N/A', 'review_title': 'N/A', 'review_text': ""Très beau  et rapide mais la batterie un peu limite quand vous avez plusieurs applications.Très déçu, prix trop élevé pour ce smartphone.De plus Samsung ne vous rembourse pas j'ai fais la démarche très pénible à faire, l'offre des 100E remboursé est de la publicité mensongère très déçu aussi du vendeur\nRead more"", 'review_date': 'Reviewed in France on 10 April 2023'}, {'reviewer_name': 'DaSilva', 'review_rating': 'N/A', 'review_title': 'N/A', 'review_text': ""Voici bientôt 1 an que j'ai le téléphone s22 et franchement je suis grave déçu il est pas ouff il beug déjà beaucoup et la batterie ne tient plus à croire qu'il était pas neuf à son achat.\nRead more"", 'review_date': 'Reviewed in France on 13 February 2024'}]",Amazon NL
Samsung compatible Galaxy S22 Ultra 5G Black 128Go,SAMSUNG,android,,,8 GB,6.8 Inches,,,,Wi-Fi,,Unlocked,5G,,Black,"€1,286.44",,€,4.3 out of 5 stars,https://www.amazon.nl/-/en/Samsung-compatible-Galaxy-Ultra-Black/dp/B09RKK1P9S/ref=sr_1_92?dib=eyJ2IjoiMSJ9.wLLVIcni-SJ9xpnEeWKynYzchCPGP9haMVMI5x2Y5Vac5g820iPtGPkLbVOp1RuJu77Tu3xWzVrN39S9rcGCoV1RJXVL75DxXFIZd-nhha7Bn7fAJLM0yhZo0lUQc2HU5zBP6UCVMNnV49WJJl5NbQN8YaFCiV-SRqDzSmwaqJmexVVfqgOR9Ad3YXAzgVv66eRSm6X5H1Jd0puscGe0uFOOC-uDN_n1PQU49H-pSAwQWmhEOu47LN451j1q7sHIAGn8U2tZvxeSul2qrqf4ZpZMGlq3RQyWza3Ga-cnwMA.mCN9kEE1DST8GHPFMz_GJdFKUvNrXKJkJx1HIL_TNzc&dib_tag=se&m=A17D2BRD4YMT0X&qid=1725663115&refinements=p_4%3ASAMSUNG%2Cp_n_condition-type%3A17170958031%2Cp_123%3A46655%2Cp_6%3AA17D2BRD4YMT0X&s=electronics&sr=1-92&language=en_GB,https://m.media-amazon.com/images/I/81-Zt1Q15FL._AC_SL1500_.jpg,"[{'reviewer_name': 'jacqueline bailly', 'review_rating': 'N/A', 'review_title': 'N/A', 'review_text': ""Le CSC de ce téléphone correspond à celui des États-Unis (XAA). Il n'est pas destiné au marché français\nRead more"", 'review_date': 'Reviewed in France on 4 September 2024'}, {'reviewer_name': 'Mickael', 'review_rating': 'N/A', 'review_title': 'N/A', 'review_text': ""C'est dommage, ce téléphone est parfait, hormis l'autonomie qui est clairement naze...\nRead more"", 'review_date': 'Reviewed in France on 9 May 2023'}, {'reviewer_name': 'Zeng', 'review_rating': 'N/A', 'review_title': 'N/A', 'review_text': ""au début j'hésité a l'acheter au vue des messages laissé sur le téléphone (  Version américain / cassé / même pas neuve etc... ) mais pour ma part il s'agit bien de les même fiches produit que le vendeur a partager !  je suis ravis d'avoir passer le cape pour l'acheter !  Ps : y'a un câble qui permet de le charger mais pas le chargeur du coup l'acheter et a prévoir sur le coter :)\nRead more"", 'review_date': 'Reviewed in France on 11 August 2024'}, {'reviewer_name': 'Figuiere', 'review_rating': 'N/A', 'review_title': 'N/A', 'review_text': ""J'ai eu le téléphone pour Noël, acheté au moment du black friday, très bon téléphone, gros problème la batterie qui tiens pas du tout c'est affolant pour du Samsung !Point négatifs aussi, le vendeur dit que c'est destiné pour ma France, étant chez Free je ne capte casi plus à certain endroit, alors qu'avec mon ancien téléphone (Mi11 5G)  je capté partout... Donc je me demande d'où il viens quand même....\nRead more"", 'review_date': 'Reviewed in France on 3 January 2023'}, {'reviewer_name': 'veronique', 'review_rating': 'N/A', 'review_title': 'N/A', 'review_text': ""Produit conforme à ce qui était prévu mais l'emballage n'était vraiment pas terrible.Délai de livraison très long, aucun suivi. Le colis a été déposé dans la boite aux lettres.A ce prix, une remise en main propre contre signature aurait été un minimum\nRead more"", 'review_date': 'Reviewed in France on 10 December 2023'}]",Amazon NL
GALAXY A05S BLACK 64Go,SAMSUNG,Android 13.0,,,64 GB,6.5 Inches,1920 x 1080,,Samsung Galaxy A05s,Wi-Fi,,3,4G,,Black,€135.52,,€,4.4 out of 5 stars,https://www.amazon.nl/-/en/HP03334-GALAXY-A05S-BLACK-64Go/dp/B0CNSWLBG5/ref=sr_1_25?dib=eyJ2IjoiMSJ9.3OXEVbaRGUfBvOh6xVX1CFCjBAPfO-clCz3DBf3OuiGfw7aqNAxqmplpc9du7aNnCbLpTB7SYfilWSkqPlpnlIEiNQNf1de0lVLRCqY6b6pr8xzoSFIekJk8S1Z8Q62oi4lbSSge3uWTbeweLJRxDV0TIYdKXjPH78zPq99icFxAwkLaEWiQzCrGyX91HUb3vnVZ5nUUFVB5-z_tj7jrCPr_XW5534URyCRxGGn6fXSG3kriiYFy_cfxcgQZjiB5Y5bjXH6vh3S2UrV5zGxxcf9tP9tcNn0F2iwaqVt9mvg.4xebUwPhX6FXiAixIBbjwUMvBPKNr3OtY-0NoH9Asqg&dib_tag=se&m=A17D2BRD4YMT0X&qid=1725663112&refinements=p_4%3ASAMSUNG%2Cp_n_condition-type%3A17170958031%2Cp_123%3A46655%2Cp_6%3AA17D2BRD4YMT0X&s=electronics&sr=1-25&language=en_GB,https://m.media-amazon.com/images/I/61TpmGw7m7L._AC_SL1500_.jpg,"[{'reviewer_name': 'Zubair', 'review_rating': 'N/A', 'review_title': 'N/A', 'review_text': 'phone is really slow now even the speed of 2gb ram\nRead more', 'review_date': 'Reviewed in the United Arab Emirates on 3 September 2024'}, {'reviewer_name': 'reydellet', 'review_rating': 'N/A', 'review_title': 'N/A', 'review_text': 'Vraiment bien\nRead more', 'review_date': 'Reviewed in France on 9 August 2024'}, {'reviewer_name': 'Horrible', 'review_rating': 'N/A', 'review_title': 'N/A', 'review_text': ""I am writing this review on the phone and I have been using it for 4 day and all I can say is it's amazing,it's good for people who don't do much with their phones but the only bad thing is storage but the sd card space is always there so the phone is really rally good, couldn't recommend enough\nRead more"", 'review_date': 'Reviewed in the United Kingdom on 21 July 2024'}, {'reviewer_name': 'kirch80', 'review_rating': 'N/A', 'review_title': 'N/A', 'review_text': 'Todo Ok\nRead more', 'review_date': 'Reviewed in Spain on 26 May 2024'}, {'reviewer_name': 'mark guy', 'review_rating': 'N/A', 'review_title': 'N/A', 'review_text': ""You get what you pay for it's good\nRead more"", 'review_date': 'Reviewed in the United Kingdom on 13 August 2024'}]",Amazon NL
"Samsung Galaxy S9+ Smartphone (6.2 inch Touchscreen, 64 GB Internal Memory, Android, Single SIM) Lilac Purple, International Versions",SAMSUNG,android,,,64 GB,6.2 Inches,1440 x 2960,,Galaxy S9 Plus,Wi-Fi,,Unlocked,,,Lilac Purple,€456.55,,€,4.3 out of 5 stars,https://www.amazon.nl/-/en/Smartphone-Touchscreen-Internal-International-Versions/dp/B079Z6QYW9/ref=sr_1_161?dib=eyJ2IjoiMSJ9.t5B-9n3EF0GrHplbyQlm7UYgNGz0GQx0O2OULXOViPXDOF3MG6AjVEh8f-Mz48P1hO3acWYOfd3DhICQu4M3wEWqUba0xMhP_4Jf_uiJHSyktppUdRylf79YLgaOCyUbcFGgJWaymawEy1c0FSS4ZPELXWwAggueDp0bZ-8lj0e95EJDELw7E4uMM3G4OLmJuCWT1td5qJxt1118lMoEylwROr8d2FYC_HHdFly2joxtFwLHBK35I6ASv1QbDjy3nNAFy9ELhVB1mpRpA5OC-H9Yci8Rr0xVfZuswJijFSg.5lxl5E1sr1NV-krSq4qz_f0MeDNXKdq4F8AqJ5HMVk0&dib_tag=se&m=A17D2BRD4YMT0X&qid=1725663120&refinements=p_4%3ASAMSUNG%2Cp_n_condition-type%3A17170958031%2Cp_123%3A46655%2Cp_6%3AA17D2BRD4YMT0X&s=electronics&sr=1-161&language=en_GB,https://m.media-amazon.com/images/I/51DdMSojPAL._AC_SL1200_.jpg,"[{'reviewer_name': 'POZZAN MARTINA', 'review_rating': 'N/A', 'review_title': 'N/A', 'review_text': 'tutto come descritto. Buone prestazioni, veloce. Soddisfatta\nRead more', 'review_date': 'Reviewed in Italy on 16 January 2021'}, {'reviewer_name': 'Océane', 'review_rating': 'N/A', 'review_title': 'N/A', 'review_text': ""Reçu en avance, comme neuf, ça fait plusieurs mois déjà que je l'ai et il ne beug toujours pas, très fluide ! Il est peut être un peu lourd mais ça ne me dérange pas personnellement. Seul bémol : la couleur devient terne lorsque la photo en caméra avant est prise alors que tant qu'on n'appuie pas sur le bouton la couleur est naturelle. Je ne sais pas pourquoi.\nRead more"", 'review_date': 'Reviewed in France on 20 April 2020'}, {'reviewer_name': 'Dalessia', 'review_rating': 'N/A', 'review_title': 'N/A', 'review_text': 'Che dire ....il top\nRead more', 'review_date': 'Reviewed in Italy on 20 March 2019'}, {'reviewer_name': 'Elodie FUMANAL', 'review_rating': 'N/A', 'review_title': 'N/A', 'review_text': ""J ai acheté le modèle S9+ en version internationale j ai reçu une version asiatique. La localisation est compliquée et par défaut beaucoup d'options restent en coréen. 😡😡😡Chargeur rapide original. Écouteurs conformes.\nRead more"", 'review_date': 'Reviewed in France on 9 December 2019'}, {'reviewer_name': 'Käsebrot', 'review_rating': 'N/A', 'review_title': 'N/A', 'review_text': 'Das Gerät ist super. Im Vergleich zum normalen S9 hält mein akku ca. 30 % länger. Das Display ist der Wahnsinn und die Kamera macht auch sehr schöne Bilder.  Die Frontkamera ist etwas schwächer aber trotzdem noch ziemlich gut. Ansonsten hat man ein ziemlich komplettes Paket mit allem was man braucht( Kopfhöreranschluss, Sd Karte, IP Zertifizierung, Wireless fast charging...)Wirklich ein tolles Gerät.\nRead more', 'review_date': 'Reviewed in Germany on 11 March 2019'}]",Amazon NL
Samsung GSM036956 pencil case,SAMSUNG,,,,,1.6,,,,,,,,,,€8.91,,€,5.0 out of 5 stars,https://www.amazon.nl/-/en/GSM036956-Samsung-pencil-case/dp/B07HP7WSCX/ref=sr_1_136?dib=eyJ2IjoiMSJ9.ACCVWqLowwIzyG4mYQrktJtzu5aW7_E5KkCWZEieZ0Aqu3WGfe9MC3SoxVOeXxFDgBEs_GdD8qg02GOTbVv6fjQpe0Wor4vNuFf4tA2apCO8LnUqTcjkdnbv_HJ8CCtwJvisReRZS6Vs3MkVJtydtNv2xIk2vwullVzf9ypJrPjd5SNS7mahqmCke6c8JO-d-e2wUIf7Ez2q_sHzWTJhmQE9NsdcPqzRBWpLw5LEAzpipyBhpnFG84rdf9ojHEbVhEm8h-pfugk-Lu8X1gvzBno-BSTaDV82udRYvEYb358.e2JmLe5aP83BXLH5CkPB7L7lEjUwLDHT8tV63_UX_hA&dib_tag=se&m=A17D2BRD4YMT0X&qid=1725663118&refinements=p_4%3ASAMSUNG%2Cp_n_condition-type%3A17170958031%2Cp_123%3A46655%2Cp_6%3AA17D2BRD4YMT0X&s=electronics&sr=1-136&language=en_GB,https://m.media-amazon.com/images/I/517mbDzNKGL._AC_SL1216_.jpg,[],Amazon NL
Samsung GSM012014 pencil case,SAMSUNG,,,,,10.1 Inches,,,GSM012014,,,,,,,€14.24,,€,5.0 out of 5 stars,https://www.amazon.nl/-/en/GSM012014-Samsung-pencil-case/dp/B00YHD4FCU/ref=sr_1_177?dib=eyJ2IjoiMSJ9.1trdsZP-NuenfBnhWEoKXdezInWNczUtBfgv2lGN-D3Nrflv6xOp4YR-0vq1gJrpjclfd1TReTGY2klFX0ghERcMu4powBavmC2v4em-tycO_h4U5P0FvWWeCkAfrP_6I1cIxenyWg_sOxTFb3yO9pNkWXd3dc1EOn6R1i2BpcPv1jN84_lvWKa_Ozz_TgUMQ5IDltSna8dOiypzNkN4jQ.qYl41lOjKFKLEoE05o_fgbm4NMp0f5BdgfP8XYc6QI0&dib_tag=se&m=A17D2BRD4YMT0X&qid=1725663121&refinements=p_4%3ASAMSUNG%2Cp_n_condition-type%3A17170958031%2Cp_123%3A46655%2Cp_6%3AA17D2BRD4YMT0X&s=electronics&sr=1-177&language=en_GB,https://m.media-amazon.com/images/I/517UBEEwmvL.__AC_SX300_SY300_QL70_ML2_.jpg,[],Amazon NL
SAM DS S908 GAL S22 ULT 5G 8+128 OEM EU GRN,SAMSUNG,android,8 GB,,128 GB,6.8 Inches,,2.8 GHz,Model Specific,,,Unlocked,5G,,,"€1,327.01",,€,3.7 out of 5 stars,https://www.amazon.nl/-/en/SAM-S908-GAL-S22-ULT/dp/B09QLC5FD3/ref=sr_1_43?dib=eyJ2IjoiMSJ9.3OXEVbaRGUfBvOh6xVX1CFCjBAPfO-clCz3DBf3OuiGfw7aqNAxqmplpc9du7aNnCbLpTB7SYfilWSkqPlpnlIEiNQNf1de0lVLRCqY6b6pr8xzoSFIekJk8S1Z8Q62oi4lbSSge3uWTbeweLJRxDV0TIYdKXjPH78zPq99icFxAwkLaEWiQzCrGyX91HUb3vnVZ5nUUFVB5-z_tj7jrCPr_XW5534URyCRxGGn6fXSG3kriiYFy_cfxcgQZjiB5Y5bjXH6vh3S2UrV5zGxxcf9tP9tcNn0F2iwaqVt9mvg.4xebUwPhX6FXiAixIBbjwUMvBPKNr3OtY-0NoH9Asqg&dib_tag=se&m=A17D2BRD4YMT0X&qid=1725663112&refinements=p_4%3ASAMSUNG%2Cp_n_condition-type%3A17170958031%2Cp_123%3A46655%2Cp_6%3AA17D2BRD4YMT0X&s=electronics&sr=1-43&language=en_GB,https://m.media-amazon.com/images/I/81Mg8BSqcEL._AC_SL1500_.jpg,"[{'reviewer_name': 'Amazon Customer from LT', 'review_rating': 'N/A', 'review_title': 'N/A', 'review_text': 'New phone, all ok.\nRead more', 'review_date': 'Reviewed in Germany on 24 May 2024'}, {'reviewer_name': 'michele', 'review_rating': 'N/A', 'review_title': 'N/A', 'review_text': 'consegnato in anticipo, prodotto perfetto.\nRead more', 'review_date': 'Reviewed in Italy on 25 November 2023'}, {'reviewer_name': 'Marzouki', 'review_rating': 'N/A', 'review_title': 'N/A', 'review_text': '👌👍\nRead more', 'review_date': 'Reviewed in France on 18 March 2023'}, {'reviewer_name': 'Fabio Centofanti', 'review_rating': 'N/A', 'review_title': 'N/A', 'review_text': 'Ho ricevuto 2 saponette all interno del pacco!Effettuato reso al corriere!\nRead more', 'review_date': 'Reviewed in Italy on 2 June 2024'}, {'reviewer_name': 'Amazon Kunde', 'review_rating': 'N/A', 'review_title': 'N/A', 'review_text': 'Nach 4 Monaten kaputt gegangen. Allerdings.  Garantie und Geld 💰 Erstattung war sehr schnell und gut 👍\nRead more', 'review_date': 'Reviewed in Germany on 23 March 2024'}]",Amazon NL
