Title,Brand,OS,RAM,CPU,Storage,Screen Size,Resolution,CPU Speed,Model,Wireless Technology,SIM Count,Wireless Provider,Cellular Technology,Camera,Color,Price,Price Before Promotion,Currancy,Rate,URL,IMG,Reviews,Website
Honor Magic Vs Dual-SIM 512GB ROM + 12GB RAM (Only GSM | No CDMA) Factory Unlocked 5G Smartphone (Black) - International Version,HONOR,Android 13.0,12 GB,Snapdragon,512 GB,7.9 Inches,720 x 1280,"2.5, 1.8 GHz",Magic Vs,,,,,,Black,147.,,SAR,Previous page of related Sponsored Products,https://www.amazon.sa/-/en/Honor-Dual-SIM-Factory-Unlocked-Smartphone/dp/B0C4QLKQLS/ref=sr_1_73?dib=eyJ2IjoiMSJ9.U-AWbuTNx23Jld-X1-yPbmMFMM8T84VsedgIj5nP0rFDaTaRUXXtGfvUML9g313kMBbTUtIg0Cjd6X4PqmEKJZOMJCVHmt4McdMEUndV9ZKg_lB41uqhc56LqMJw5lX8yTyurPvTjVenYa6W0QgDvxetyaQJ0v--eTxrbi5X6xvEXW_IjqghBB2GO3DBjr6jsQd8Ys7TvD2ACa2pfIJN929Y9H9OZX9faMEdNMYJ-nQnID-9yHFV6wCcyCZuf9DdsnevCVLWUog3__ZFKRGiJz3V12c9HXAa0hchSmVv7gQ.Rn94gmnyDvqImwFAap6-5_aCfDbjPh0dbZVOb--IdBQ&dib_tag=se&qid=1725911374&refinements=p_n_feature_six_browse-bin%3A16967122031%2Cp_n_feature_eleven_browse-bin%3A27361539031%2Cp_89%3AHONOR&s=electronics&sr=1-73&language=en_AE,https://m.media-amazon.com/images/I/61vTxWTmlYL._AC_SL1500_.jpg,[],Amazon SA
"HUAWEI 9 LITE Honor 9 Lite Dual SIM - 32GB, 3GB RAM, 4G LTE, Sapphire Blue (Pack of1)",,,,,,,,,,,,,,,Blue,"SAR1,709.00",,SAR,4.5 out of 5 stars,https://www.amazon.sa/-/en/HUAWEI-LITE-Honor-Lite-Dual/dp/B079876N49/ref=sr_1_117?dib=eyJ2IjoiMSJ9.MNayXE2Vg6NOxSRYcqMaqNnfPdy6ktj6fj9ULU6G23fCQeFUM7XOzef0bnMb4HbnabnwHivo_1zkQHm5WkAZKpqQLHmWvpieRoxDyRR1COdhy3NDIvpnRZOAIhTV6u0Dk_tQ5R4mSZW92KastOiZmfH4mmZ89M_GmRd4DKumRxWsWHgZ2ivzjHD23A1zYZ2DB-xBuCT0K-CRvRQkeIh-Gi4k7NTgVlQDs_Tvdjg4bHnEYZD3pY4_WYojPd3DA7kBldJXZB-zR-gUCiQPF37nzgvbXGBfwHv-UZSxosjSQj8.LlG4JHSaKVUPIHQqipxJFIMd5fz4sHnLi9ziUd2DQAE&dib_tag=se&qid=1725911378&refinements=p_n_feature_six_browse-bin%3A16967122031%2Cp_n_feature_eleven_browse-bin%3A27361539031%2Cp_89%3AHONOR&s=electronics&sr=1-117&language=en_AE,https://m.media-amazon.com/images/I/81tTAs93V7L._AC_SL1500_.jpg,[],Amazon SA
"Honor Magic 4 Lite 4G Smartphone 6 + 128 GB Android 11 Mobile Phone with 64 MP Camera, 6,81” 90Hz LCD, Snapdragon 680, 66W Fast Charging with 4800mAh Battery, 2 Year Warranty, Black",HONOR,Android 11.0,8 GB,Snapdragon,128 GB,6.81 Inches,1080 x 2388,"2.2, 1.7 GHz",Magic4,,,,,,Black,"SAR1,900.00",,SAR,4.4 out of 5 stars,https://www.amazon.sa/-/en/Smartphone-Android-Snapdragon-Charging-Warranty/dp/B09X7MPYS3/ref=sr_1_83?dib=eyJ2IjoiMSJ9.U-AWbuTNx23Jld-X1-yPbmMFMM8T84VsedgIj5nP0rFDaTaRUXXtGfvUML9g313kMBbTUtIg0Cjd6X4PqmEKJZOMJCVHmt4McdMEUndV9ZKg_lB41uqhc56LqMJw5lX8yTyurPvTjVenYa6W0QgDvxetyaQJ0v--eTxrbi5X6xvEXW_IjqghBB2GO3DBjr6jsQd8Ys7TvD2ACa2pfIJN929Y9H9OZX9faMEdNMYJ-nQnID-9yHFV6wCcyCZuf9DdsnevCVLWUog3__ZFKRGiJz3V12c9HXAa0hchSmVv7gQ.Rn94gmnyDvqImwFAap6-5_aCfDbjPh0dbZVOb--IdBQ&dib_tag=se&qid=1725911374&refinements=p_n_feature_six_browse-bin%3A16967122031%2Cp_n_feature_eleven_browse-bin%3A27361539031%2Cp_89%3AHONOR&s=electronics&sr=1-83&language=en_AE,https://m.media-amazon.com/images/I/511fBkfpLBL._AC_SL1200_.jpg,[],Amazon SA
"Honor X8 17 cm (6.7"") Double SIM Android 11 4G USB Type-C 6 Go 128 Go 4000 mAh Noir",HONOR,Android 8.1,6 GB,Snapdragon,6 GB,6.7 Inches,,2 GHz,X8,,,Unlocked for All Carriers,,,,SAR889.54,,SAR,3.8 out of 5 stars,https://www.amazon.sa/-/en/Honor-Double-Android-Type-C-4000/dp/B09WB17BY9/ref=sr_1_85?dib=eyJ2IjoiMSJ9.U-AWbuTNx23Jld-X1-yPbmMFMM8T84VsedgIj5nP0rFDaTaRUXXtGfvUML9g313kMBbTUtIg0Cjd6X4PqmEKJZOMJCVHmt4McdMEUndV9ZKg_lB41uqhc56LqMJw5lX8yTyurPvTjVenYa6W0QgDvxetyaQJ0v--eTxrbi5X6xvEXW_IjqghBB2GO3DBjr6jsQd8Ys7TvD2ACa2pfIJN929Y9H9OZX9faMEdNMYJ-nQnID-9yHFV6wCcyCZuf9DdsnevCVLWUog3__ZFKRGiJz3V12c9HXAa0hchSmVv7gQ.Rn94gmnyDvqImwFAap6-5_aCfDbjPh0dbZVOb--IdBQ&dib_tag=se&qid=1725911374&refinements=p_n_feature_six_browse-bin%3A16967122031%2Cp_n_feature_eleven_browse-bin%3A27361539031%2Cp_89%3AHONOR&s=electronics&sr=1-85&language=en_AE,https://m.media-amazon.com/images/I/51GzWdEhjqL._AC_SL1200_.jpg,[],Amazon SA
Honor 90 Dual-SIM 512GB ROM + 12GB RAM (Only GSM | No CDMA) Factory Unlocked 5G Smartphone (Peacock Blue) - International Version,HONOR,,,Snapdragon,512 GB,6.5 Inches,,"2.36, 2.5, 1.8 GHz",,Wi-Fi,,Unlocked,,,Blue,"SAR3,165.00",,SAR,5.0 out of 5 stars,https://www.amazon.sa/-/en/Dual-SIM-Factory-Unlocked-Smartphone-Peacock/dp/B0CD7DKJ73/ref=sr_1_70?dib=eyJ2IjoiMSJ9.NRzVbBGSFJT0s2eG6rA8Fpud5PzWmX9ylNyzbrDs5Tlqb9dVUPs8ZKktpSpZzQURgi2BBGQ2kEElIWELldEiaQOnrtoq8SsZL7zjqLD8taqo3-AKgTMePiICWWp6Ru0_c88dOdmqHCzIcyLOYrG2Ga9cU8ZPo4BYMOj0pMc2PHrHwQNIGdSU9eeFhoqE3URVEUgWMZ_QEldQ8Gry7pSmooNkIxzy7tic88FATr2PWFuwP4U1qK3-9blGRn3ENhahjYWk5w_W5EtAwYF3IQ3G1j6JAAyNIea8G7IaQlhnFAk.RdxLb7iohx_VWJJnGGJonoXw956Vj17utmf6LdimM9M&dib_tag=se&qid=1725911371&refinements=p_n_feature_six_browse-bin%3A16967122031%2Cp_n_feature_eleven_browse-bin%3A27361539031%2Cp_89%3AHONOR&s=electronics&sr=1-70&language=en_AE,https://m.media-amazon.com/images/I/71o22oBFlNL._AC_SL1500_.jpg,[],Amazon SA
Honor 50 Dual-SIM 128GB ROM + 6GB RAM (GSM | CDMA) Factory Unlocked 5G SmartPhone (Midnight Black) - International Version,HONOR,,6 GB,Snapdragon,128 GB,6.57 Inches,,"1.8, 2.4 GHz",Honor 50,,,Unlocked for All Carriers,5G,,Midnight Black,"SAR2,745.00",,SAR,4.3 out of 5 stars,https://www.amazon.sa/-/en/Dual-SIM-Factory-Unlocked-SmartPhone-Midnight/dp/B097P22PT8/ref=sr_1_91?dib=eyJ2IjoiMSJ9.U-AWbuTNx23Jld-X1-yPbmMFMM8T84VsedgIj5nP0rFDaTaRUXXtGfvUML9g313kMBbTUtIg0Cjd6X4PqmEKJZOMJCVHmt4McdMEUndV9ZKg_lB41uqhc56LqMJw5lX8yTyurPvTjVenYa6W0QgDvxetyaQJ0v--eTxrbi5X6xvEXW_IjqghBB2GO3DBjr6jsQd8Ys7TvD2ACa2pfIJN929Y9H9OZX9faMEdNMYJ-nQnID-9yHFV6wCcyCZuf9DdsnevCVLWUog3__ZFKRGiJz3V12c9HXAa0hchSmVv7gQ.Rn94gmnyDvqImwFAap6-5_aCfDbjPh0dbZVOb--IdBQ&dib_tag=se&qid=1725911374&refinements=p_n_feature_six_browse-bin%3A16967122031%2Cp_n_feature_eleven_browse-bin%3A27361539031%2Cp_89%3AHONOR&s=electronics&sr=1-91&language=en_AE,https://m.media-amazon.com/images/I/71UzVBpxy0L._AC_SL1500_.jpg,[],Amazon SA
"Honor X7b Smartphone 4G, 8GB Turbo RAM + 256GB Storage, 108MP Triple Camera, 6.8 Inch 90Hz Display, 6000mAh Battery, 35W Super Charge, 6nm Snapdragon Processor, Dual SIM, Android 13, Emerald Green",HONOR,Android 13.0,8 GB,Snapdragon,256 GB,6.8 Inches,1080 x 2400,1.8 GHz,HONOR X7b,,,,,108MP,Emerald Green,555.,,SAR,3.5 out of 5 stars,https://www.amazon.sa/-/en/Smartphone-Storage-Display-Snapdragon-Processor/dp/B0CQCG66J6/ref=sr_1_6?dib=eyJ2IjoiMSJ9.wiuWPUVaEiY0DwoXkBLXDLWTYcznXcBcBfWRzHJQarw14M6gBL8ejvcT1LkYz5fo4UPQwhmnMo_bDLtP0_dejNFjzySyzewb9TdiaRkKay-Djw-zb0PjG5x6uy8c-eqBziryx4pZP105N0h99o9i_tdEydT-JHdlcWT4hRA_YxlyHH2-RF80f0keYCnBODcVR9kIAOPv9KZnfsIMDcgCkxpttm7QXPlu6CbXiF56ILAb1CQDtOl5SEKFXuDLMyjaTd93fKc8IGpQZTokLwMMb_pREa_Nsa7c-7d3ozd1dX4.4-W7oPrc7RHJvad2VEjqlLm5OFl7qZIEayrh7tQwZ-8&dib_tag=se&qid=1725911358&refinements=p_n_feature_six_browse-bin%3A16967122031%2Cp_n_feature_eleven_browse-bin%3A27361539031%2Cp_89%3AHONOR&s=electronics&sr=1-6&language=en_AE,https://m.media-amazon.com/images/I/71rmR3wN+rL._AC_SL1500_.jpg,"[{'reviewer_name': 'جوال جميل وابغي شرائه مره اخري', 'review_rating': '5.0 out of 5 stars', 'review_title': '5.0 out of 5 stars\nالعزيزيه حفر الباطن', 'review_text': 'رامات والذاكره و الكاميرا الخلفيه\nRead more', 'review_date': 'Reviewed in Saudi Arabia on 6 July 2024'}, {'reviewer_name': 'سليمان محمد', 'review_rating': '1.0 out of 5 stars', 'review_title': '1.0 out of 5 stars\nالميزة حلوة', 'review_text': 'ماعجبني اشتريته وندمت بس  الموصفات حلو لكن يعلق بعض تطبيقات\nRead more', 'review_date': 'Reviewed in Saudi Arabia on 9 August 2024'}, {'reviewer_name': 'حسن اسماعيل', 'review_rating': '1.0 out of 5 stars', 'review_title': '1.0 out of 5 stars\nالمنتج للأسف به عيب صناعة بالنسبة لاتقطع الصوت أثناء المكالمات', 'review_text': 'سعة البطارية\nRead more', 'review_date': 'Reviewed in Saudi Arabia on 5 May 2024'}, {'reviewer_name': 'منيره الرويلي', 'review_rating': '5.0 out of 5 stars', 'review_title': '5.0 out of 5 stars\nممتاز', 'review_text': 'مرا حلو طلبته لامي و مرا عجبها حبيته\nRead more', 'review_date': 'Reviewed in Saudi Arabia on 20 May 2024'}, {'reviewer_name': 'TamAjeed Hossain', 'review_rating': '5.0 out of 5 stars', 'review_title': '5.0 out of 5 stars\nGOOD', 'review_text': 'NICE\nRead more', 'review_date': 'Reviewed in Saudi Arabia on 25 December 2023'}, {'reviewer_name': 'هيثم عبدالله كادوم', 'review_rating': '5.0 out of 5 stars', 'review_title': '5.0 out of 5 stars\nالمنتج جميل', 'review_text': 'الجوال جدا جميل وسلس لا يشكو من شي\nRead more', 'review_date': 'Reviewed in Saudi Arabia on 17 May 2024'}]",Amazon SA
"HONOR Magic4 Pro - 5G Smartphone 8+256GB, 6.81"" 120Hz Curved Screen, Snapdragon 8 Gen 1 Processor, 50MP Triple Camera, 100W SuperCharge, 4600mAh Battery, NFC, IP68, Dual SIM, Android 12, Cyan",HONOR,Android 12.0,8 GB,Snapdragon,256 GB,6.81 Inches,1312 x 2848,,Magic4 Pro,,,Unlocked for All Carriers,,,Cyan,42.,,SAR,4.0 out of 5 stars,https://www.amazon.sa/-/en/HONOR-Magic4-Pro-Smartphone-SuperCharge/dp/B09Z37LMRK/ref=sr_1_48?dib=eyJ2IjoiMSJ9.URE1guSw1xGdlsFyRzFK5heKe5QrmvTY1ygD12DgpVSpTYMF0jlAsRikAahP-fWyIANrVG2-GR1N9AMqYc_z4KqAAP_t4emPMzpCXinSEchNOWtjtYlZnLIFggxlh-O7Wfqd81RiC9bMnAOfsuXm6cEAt4eAOsmbMUX-WZYsv-ozJ5wEa2VwyCPsy75C-0KIHncGA7YQTyUco_Ak79-laivWVgWh34GqLrLPKKJciGIQTasajr3NQF1Rw7KZRpmVGg5AdfizwBFXHjKCHkT8sQTuuov0UjypCsvun4M-KM8.LnZL-HFFgIRSpfqozWnKGiYFSAm4ymMhY3DuXIQ0L74&dib_tag=se&qid=1725911363&refinements=p_n_feature_six_browse-bin%3A16967122031%2Cp_n_feature_eleven_browse-bin%3A27361539031%2Cp_89%3AHONOR&s=electronics&sr=1-48&language=en_AE,https://m.media-amazon.com/images/I/617jaWOLSeL._AC_SL1500_.jpg,"[{'reviewer_name': 'ali chater', 'review_rating': '3.0 out of 5 stars', 'review_title': '3.0 out of 5 stars\nالجوال بسعر الايفون فيه ٨ جيجا فقط', 'review_text': 'الرام ٨جيجا وفيه معالج قوي حرام\nRead more', 'review_date': 'Reviewed in Saudi Arabia on 5 July 2022'}, {'reviewer_name': 'mujtaba khudar', 'review_rating': '3.0 out of 5 stars', 'review_title': '3.0 out of 5 stars\nPhone is heated while normal used', 'review_text': 'I like the device everything is perfect except the heating issue which drain the battery very fast\nRead more', 'review_date': 'Reviewed in Saudi Arabia on 20 July 2022'}]",Amazon SA
Honor 70 Lite Dual-SIM 128GB ROM + 4GB RAM (Only GSM | No CDMA) Factory Unlocked 5G Smartphone (Titanium Silver) - International Version,HONOR,Android 12.0,4 GB,Snapdragon,128 GB,6.5 Inches,720 x 1600,"1.9, 2.2 GHz",70 Lite,,,,,,Titanium Silver,"SAR1,715.00",,SAR,4.5 out of 5 stars,https://www.amazon.sa/-/en/Dual-SIM-Factory-Unlocked-Smartphone-Titanium/dp/B0BTQ3XYV5/ref=sr_1_77?dib=eyJ2IjoiMSJ9.U-AWbuTNx23Jld-X1-yPbmMFMM8T84VsedgIj5nP0rFDaTaRUXXtGfvUML9g313kMBbTUtIg0Cjd6X4PqmEKJZOMJCVHmt4McdMEUndV9ZKg_lB41uqhc56LqMJw5lX8yTyurPvTjVenYa6W0QgDvxetyaQJ0v--eTxrbi5X6xvEXW_IjqghBB2GO3DBjr6jsQd8Ys7TvD2ACa2pfIJN929Y9H9OZX9faMEdNMYJ-nQnID-9yHFV6wCcyCZuf9DdsnevCVLWUog3__ZFKRGiJz3V12c9HXAa0hchSmVv7gQ.Rn94gmnyDvqImwFAap6-5_aCfDbjPh0dbZVOb--IdBQ&dib_tag=se&qid=1725911374&refinements=p_n_feature_six_browse-bin%3A16967122031%2Cp_n_feature_eleven_browse-bin%3A27361539031%2Cp_89%3AHONOR&s=electronics&sr=1-77&language=en_AE,https://m.media-amazon.com/images/I/71+oYLhv4qL._AC_SL1500_.jpg,[],Amazon SA
Honor 8S (2020) Dual-Sim 32GB ROM + 3GB RAM (GSM only | No CDMA) Factory Unlocked 4G/LTE SmartPhone (Navy Blue) - International Version,HONOR,Android 9.0,3 GB,Snapdragon,64 GB,5.71 Inches,,2 GHz,8S,,,,4G,,Navy Blue,"SAR1,229.00",,SAR,4.7 out of 5 stars,https://www.amazon.sa/-/en/Honor-Dual-Sim-Factory-Unlocked-SmartPhone/dp/B08CNM5WJG/ref=sr_1_92?dib=eyJ2IjoiMSJ9.U-AWbuTNx23Jld-X1-yPbmMFMM8T84VsedgIj5nP0rFDaTaRUXXtGfvUML9g313kMBbTUtIg0Cjd6X4PqmEKJZOMJCVHmt4McdMEUndV9ZKg_lB41uqhc56LqMJw5lX8yTyurPvTjVenYa6W0QgDvxetyaQJ0v--eTxrbi5X6xvEXW_IjqghBB2GO3DBjr6jsQd8Ys7TvD2ACa2pfIJN929Y9H9OZX9faMEdNMYJ-nQnID-9yHFV6wCcyCZuf9DdsnevCVLWUog3__ZFKRGiJz3V12c9HXAa0hchSmVv7gQ.Rn94gmnyDvqImwFAap6-5_aCfDbjPh0dbZVOb--IdBQ&dib_tag=se&qid=1725911374&refinements=p_n_feature_six_browse-bin%3A16967122031%2Cp_n_feature_eleven_browse-bin%3A27361539031%2Cp_89%3AHONOR&s=electronics&sr=1-92&language=en_AE,https://m.media-amazon.com/images/I/51UuwysxnqL._AC_SL1000_.jpg,[],Amazon SA
