Title,Brand,OS,RAM,CPU,Storage,Screen Size,Resolution,CPU Speed,Model,Wireless Technology,SIM Count,Wireless Provider,Cellular Technology,Camera,Color,Price,Price Before Promotion,Currancy,Rate,URL,IMG,Reviews,Website
Xiaomi POCO X4 Pro 5G Dual SIM 8GB RAM 256GB 5G Laser Black,Xiaomi,"MIUI 13, Android 11.0",8 GB,Snapdragon,256 GB,6.67 Inches,1080 x 2400,2.4 GHz,X4 Pro,,,,,,Black,"1,332.",,SAR,3.9 out of 5 stars,https://www.amazon.sa/Xiaomi-POCO-256GB-Laser-Black/dp/B0B3DP8YGP?ref_=ast_sto_dp&language=en_AE,https://m.media-amazon.com/images/I/71GG3PPhWKL._AC_SL1500_.jpg,"[{'reviewer_name': 'user-MWAQASCH', 'review_rating': '5.0 out of 5 stars', 'review_title': '5.0 out of 5 stars\nSpecs, Looks, Strong Body', 'review_text': 'I am already loving the product. very good design its elegant and metal body gives a strong feeling to hold on to it. Specification-wise this mobile is very good. I think the camera has still room for improvement.\nRead more', 'review_date': 'Reviewed in Saudi Arabia on 19 September 2022'}, {'reviewer_name': 'Wasim Javed', 'review_rating': '4.0 out of 5 stars', 'review_title': '4.0 out of 5 stars\nNice', 'review_text': 'Nice\nRead more', 'review_date': 'Reviewed in Saudi Arabia on 13 August 2023'}, {'reviewer_name': 'zaki', 'review_rating': '1.0 out of 5 stars', 'review_title': '1.0 out of 5 stars\nالمنتج لا يدعم معدل التحديث 120 هرتز', 'review_text': 'تردد الاطارات في الجهاز لا تتعدى 30 اطار علما بأنها اهم شي في الكاميرا اما باقي المواصفات جيدة جداً\nRead more', 'review_date': 'Reviewed in Saudi Arabia on 10 August 2022'}, {'reviewer_name': 'mohamed', 'review_rating': '5.0 out of 5 stars', 'review_title': '5.0 out of 5 stars\nكل شيئ ممتاز', 'review_text': 'الجهاز رائع وإمكانيات عاليه نفس الامكانيات في شركات اخري بيكون سعرها عالي جدا جدا 👍👍👍👍\nRead more', 'review_date': 'Reviewed in Saudi Arabia on 29 August 2022'}, {'reviewer_name': 'Zakarya', 'review_rating': '4.0 out of 5 stars', 'review_title': '4.0 out of 5 stars\nاداء وتصم ممتاز', 'review_text': 'جوال رائع من حيث الأداء والتصميم .\nRead more', 'review_date': 'Reviewed in Saudi Arabia on 21 August 2022'}, {'reviewer_name': 'HANADI MOHAMMED SALI', 'review_rating': '1.0 out of 5 stars', 'review_title': '1.0 out of 5 stars\nيعلق', 'review_text': 'تفاجئت ان الجهاااز يعلق  لا.وهذا هو التحديث الأخير لا انصح به  اوبو  بكو x4\nRead more', 'review_date': 'Reviewed in Saudi Arabia on 4 August 2022'}, {'reviewer_name': 'Anup Thapa', 'review_rating': '1.0 out of 5 stars', 'review_title': '1.0 out of 5 stars\n😡😡😡😡', 'review_text': 'Not good 😡😡😡\nRead more', 'review_date': 'Reviewed in Saudi Arabia on 26 November 2022'}, {'reviewer_name': 'Alql3h', 'review_rating': '5.0 out of 5 stars', 'review_title': '5.0 out of 5 stars\nفخم.', 'review_text': 'بعد استخدام ٦ شهور اشوفه جوال قوي وصامد وشجاع.بس خلفيه الجوال قزاز تتشطب بسرعه مع اقرب طقه.\nRead more', 'review_date': 'Reviewed in Saudi Arabia on 21 February 2023'}]",Amazon SA
Xiaomi Poco X4 Pro 5G Dual Sim 6Gb Ram 128Gb 5G Laser Black,Xiaomi,"MIUI 13, Android 11.0",6 GB,Snapdragon,128 GB,6.67 Inches,1080 x 2400,2.4 GHz,X4 Pro,,,,,,Black,"SAR1,297.70",,SAR,4.1 out of 5 stars,https://www.amazon.sa/Xiaomi-Poco-128Gb-Laser-Black/dp/B09WLLQ2RR?ref_=ast_sto_dp&th=1&psc=1&language=en_AE,https://m.media-amazon.com/images/I/71GG3PPhWKL._AC_SL1500_.jpg,"[{'reviewer_name': 'Ahmed', 'review_rating': '5.0 out of 5 stars', 'review_title': '5.0 out of 5 stars\nجوال ممتاز جدا', 'review_text': 'بطاريه ممتازهشحن سريع5gNfc\nRead more', 'review_date': 'Reviewed in Saudi Arabia on 15 July 2024'}, {'reviewer_name': 'zizo elmasry', 'review_rating': '4.0 out of 5 stars', 'review_title': '4.0 out of 5 stars\nممتاز الإمكانيات مقابل السعر', 'review_text': 'هاتف جيد جدا جدا 🌹🌹شاشة كبيرة سوبر اموليدهيكل زجاجي جميلسماعات ستيريو مذدوجة علوية وسفليةمعالج محترم سناب دراجون غني عن التعريفمقاوم للماء والغبارامكانية اضافة اكتر من حساب ونسختين لكل تطبيقبطارية ليثيوم جيدة جدا ٥ الاف م امبير يوم كامل مع استخدام عالييومين مع استخدام متوسطكاميرات جيدة جدا جداشاحن سريع وشاحن تيربو من صفر الي ١٠٠ ب ٤٠ دقيةالملاحظة الوحيدة هي تعطل الشاحن والكيبل الاصلي بعد استخدام اقل من ٦ شهور\nRead more', 'review_date': 'Reviewed in Saudi Arabia on 25 June 2023'}, {'reviewer_name': 'nabin yogi', 'review_rating': '5.0 out of 5 stars', 'review_title': '5.0 out of 5 stars\nNice mobile', 'review_text': 'Very nice and wonderful mobile, working smooth battery also well, I am happy with this mobile\nRead more', 'review_date': 'Reviewed in Saudi Arabia on 19 May 2024'}, {'reviewer_name': 'Mahmoud', 'review_rating': '3.0 out of 5 stars', 'review_title': '3.0 out of 5 stars\nليس بالسئ', 'review_text': 'التلفون اجمالا جيد شاشة اموليد بتردد 120 هرتز وبروسيور سناب درىجون وشحن قوى وسريع ولكن لم تعجبني الكاميرا .. الكاميرا ضعيفة خاصة تصوير الفديو\nRead more', 'review_date': 'Reviewed in Saudi Arabia on 5 May 2022'}, {'reviewer_name': 'Ahmad', 'review_rating': '5.0 out of 5 stars', 'review_title': ""5.0 out of 5 stars\nIt's what you are paying for and better!"", 'review_text': ""This phone is great for gaming and productivity. The phone is water resistant so you don't have to worry if you dropped it in water, the phone supports fast charging and it truly reaches 90% battery percentage in less than 40 minutes which is the biggest wow I've seen in a phone. The phone battery capacity honestly lasts for two days just using social media and phone calling which is way better than 6 hours on a iphone X. I recommend this phone if you are looking for cheap and quality. I will warn you though if you are looking for a good camera this phone is not for you, the camera is terrible in low light so you've been warned, other than that everything is fast and smooth. The screen brightness is amazing and the finger print scanner is great. You will experience advertisements in the lock screen and homescreen so watch tutorials on how to disable them as they take 15 minutes not more to disable. (The advertisements are even in the home and lock screen) Xiaomi makes their money back with these advertisements to provide you a quality build material phone. the phone also supports two sim cards which is a woah and an SD slot, but you can use EITHER 1 SD slot and 1 Sim card slot or 2 sim card slot. you can't use all three at the same time. anyways the phone arrived the next day earlier than usually so thank you Amazon and the seller for this product. I am satisfied.\nRead more"", 'review_date': 'Reviewed in Saudi Arabia on 28 July 2022'}, {'reviewer_name': 'Nice battery camera loser', 'review_rating': '4.0 out of 5 stars', 'review_title': '4.0 out of 5 stars\nNice', 'review_text': 'Nice abt battery camera loser\nRead more', 'review_date': 'Reviewed in Saudi Arabia on 10 January 2024'}, {'reviewer_name': 'ما يدعم الشحن اللاسلكي', 'review_rating': '1.0 out of 5 stars', 'review_title': '1.0 out of 5 stars\nلا يدعم الشحن اللاسلكي ولا تشتغل الIR', 'review_text': 'لا يدعم الشحن اللاسلكي ولا تشتغل الIR\nRead more', 'review_date': 'Reviewed in Saudi Arabia on 30 June 2023'}, {'reviewer_name': 'Shafraz Jiffry', 'review_rating': '5.0 out of 5 stars', 'review_title': '5.0 out of 5 stars\nPerformance', 'review_text': 'Awesome\nRead more', 'review_date': 'Reviewed in Saudi Arabia on 9 March 2024'}]",Amazon SA
Xiaomi Poco X4 Pro 5G Dual Sim 6Gb Ram 128Gb 5G Yellow,Xiaomi,"MIUI 13, Android 11.0",6 GB,Snapdragon,128 GB,6.67 Inches,2400 x 1080,2.4 GHz,X4 Pro,,,,,,Yellow,"1,258.",,SAR,3.3 out of 5 stars,https://www.amazon.sa/Xiaomi-Poco-Dual-128Gb-Yellow/dp/B0B1N7L8NB?ref_=ast_sto_dp&th=1&psc=1&language=en_AE,https://m.media-amazon.com/images/I/71Q7BvFANLL._AC_SL1500_.jpg,"[{'reviewer_name': 'Khaled saad', 'review_rating': '5.0 out of 5 stars', 'review_title': '5.0 out of 5 stars\nجوال ذكي بخدمات كبيره', 'review_text': 'عرض قوي بعد الخصم 550\nRead more', 'review_date': 'Reviewed in Saudi Arabia on 16 June 2024'}, {'reviewer_name': 'arshi eqbal', 'review_rating': '1.0 out of 5 stars', 'review_title': '1.0 out of 5 stars\nDisappointed', 'review_text': 'Not as per describe by the company. The worst thing about this mobile is battery, not good.\nRead more', 'review_date': 'Reviewed in Saudi Arabia on 21 February 2023'}, {'reviewer_name': 'Abo Salman', 'review_rating': '3.0 out of 5 stars', 'review_title': '3.0 out of 5 stars\nجيد', 'review_text': 'هاتف جبد\nRead more', 'review_date': 'Reviewed in Saudi Arabia on 28 January 2024'}, {'reviewer_name': 'Reyad Asal', 'review_rating': '5.0 out of 5 stars', 'review_title': '5.0 out of 5 stars\nشحن سريع وبطارية قوية', 'review_text': 'ممتاز\nRead more', 'review_date': 'Reviewed in Saudi Arabia on 1 June 2023'}, {'reviewer_name': 'محمد اسلام', 'review_rating': '4.0 out of 5 stars', 'review_title': '4.0 out of 5 stars\nGood', 'review_text': 'Well done\nRead more', 'review_date': 'Reviewed in Saudi Arabia on 9 February 2023'}, {'reviewer_name': 'ابو عمر', 'review_rating': '3.0 out of 5 stars', 'review_title': '3.0 out of 5 stars\nتفاصيل المنتج والأهم ملحقاتها مثل الشاحن والسلك', 'review_text': 'الجهاز جيد لكن الشاحن له مخرج يو اس بي وسلك الشاحن ليس له يو اس بى طرفي السلك تايب سي لذلك اضطرات لشراء سلك من السوق والسلك الأصلي ليس له فائدة\nRead more', 'review_date': 'Reviewed in Saudi Arabia on 23 June 2023'}, {'reviewer_name': 'Navab', 'review_rating': '3.0 out of 5 stars', 'review_title': '3.0 out of 5 stars\n5g', 'review_text': 'No discretion witch 5g band 7 or 12 because any person perched after when i country no work 5g I feel it so please show 5g band\nRead more', 'review_date': 'Reviewed in Saudi Arabia on 22 December 2023'}]",Amazon SA
"Redmi 12C (Graphite Gray 6GB RAM, 128 Storage) - Powerful MediaTek Helio G85 | Immersive 6.71"" HD+ display | 50MP AI dual camera | 5000mAh long-lasting battery",Xiaomi,Android 12.0,6 GB,MediaTek Helio,128 GB,6.71 Inches,720 x 1280,2.84,Redmi 12C,,,,,,Graphite,SAR456.78,,SAR,4.4 out of 5 stars,https://www.amazon.sa/Redmi-12C-Graphite-Gray-Storage/dp/B0BXJM3ZKX?ref_=ast_sto_dp&th=1&psc=1&language=en_AE,https://m.media-amazon.com/images/I/51UtIuo-sUL._AC_SL1000_.jpg,"[{'reviewer_name': 'Sirajul Islam', 'review_rating': '5.0 out of 5 stars', 'review_title': '5.0 out of 5 stars\nGreat product', 'review_text': 'Great product\nRead more', 'review_date': 'Reviewed in Saudi Arabia on 25 April 2024'}, {'reviewer_name': 'Ahmad Alatie', 'review_rating': '4.0 out of 5 stars', 'review_title': '4.0 out of 5 stars\nجيد جدا', 'review_text': 'جيد للاطفال\nRead more', 'review_date': 'Reviewed in Saudi Arabia on 4 December 2023'}]",Amazon SA
Redmi 12 5G Dual SIM Midnight Black 8GB RAM 256GB - Global Version,Xiaomi,Android 13.0,8 GB,Snapdragon,256 GB,6.79 Inches,1080 x 2460,"2.0, 2.2 GHz",Redmi 12 5G,,,,,,Midnight Black,"2,219.",,SAR,3.5 out of 5 stars,https://www.amazon.sa/Redmi-Dual-Midnight-Black-256GB/dp/B0CFV4JMGG?ref_=ast_sto_dp&th=1&psc=1&language=en_AE,https://m.media-amazon.com/images/I/61b67F9qoOL._AC_SL1500_.jpg,"[{'reviewer_name': 'Indra Monaram', 'review_rating': '5.0 out of 5 stars', 'review_title': '5.0 out of 5 stars\nGood mobile at cheap price', 'review_text': 'It has been used for 6 months and it works very well. The battery also lasts a long time. It is a good mobile phone at a cheap price\nRead more', 'review_date': 'Reviewed in Saudi Arabia on 8 August 2024'}, {'reviewer_name': 'HOSSAM O.', 'review_rating': '1.0 out of 5 stars', 'review_title': '1.0 out of 5 stars\nبطيئ ويهنج دائما ويسخن', 'review_text': 'بطيئ ويهنج دائما ويسخنسيئ جدا\nRead more', 'review_date': 'Reviewed in Saudi Arabia on 22 June 2024'}, {'reviewer_name': 'رادمي 12 5g', 'review_rating': '5.0 out of 5 stars', 'review_title': '5.0 out of 5 stars\nانه رائع', 'review_text': 'شبكت ال٥ج قويه وسريعه فيه\nRead more', 'review_date': 'Reviewed in Saudi Arabia on 8 January 2024'}, {'reviewer_name': 'Mosingori', 'review_rating': '3.0 out of 5 stars', 'review_title': '3.0 out of 5 stars\nGood', 'review_text': 'Volume sound no good\nRead more', 'review_date': 'Reviewed in Saudi Arabia on 19 June 2024'}, {'reviewer_name': 'Jahangir', 'review_rating': '4.0 out of 5 stars', 'review_title': '4.0 out of 5 stars\nGood', 'review_text': 'Good\nRead more', 'review_date': 'Reviewed in Saudi Arabia on 4 January 2024'}, {'reviewer_name': 'NAVEEN V J', 'review_rating': '5.0 out of 5 stars', 'review_title': '5.0 out of 5 stars\nGood product from Xiaomi', 'review_text': '5g , camera speed all good\nRead more', 'review_date': 'Reviewed in Saudi Arabia on 9 December 2023'}, {'reviewer_name': 'The item is not good battery is not good so I want to return and refund or give me another phone in 2days', 'review_rating': '1.0 out of 5 stars', 'review_title': '1.0 out of 5 stars\nTotally not good', 'review_text': 'This items battery is not good totally bad battery response and phone is heating in little time so I no need this item I caceling this and I want to buy another phone replace this I want to buy a oppo phone please cancel this item I need another phone real me is not good this is Chinese\nRead more', 'review_date': 'Reviewed in Saudi Arabia on 26 October 2023'}, {'reviewer_name': 'ALI', 'review_rating': '2.0 out of 5 stars', 'review_title': '2.0 out of 5 stars\nDisplay Camera and sound quality not good', 'review_text': 'The display is not good.The camera is not good.The sound quality is inferior.Suitable for low-budget phones.The rest is up to the market.\nRead more', 'review_date': 'Reviewed in Saudi Arabia on 9 October 2023'}]",Amazon SA
Xiaomi Redmi 12 5G Dual SIM Polar Silver 8GB RAM 256GB - Global Version,Xiaomi,Android 13.0,8 GB,Snapdragon,256 GB,6.79 Inches,1080 x 2460,"2.0, 2.2 GHz",Redmi 12 5G,,,,,,Silver,599.,,SAR,3.9 out of 5 stars,https://www.amazon.sa/Xiaomi-Redmi-Polar-Silver-256GB/dp/B0CFV6JP65?ref_=ast_sto_dp&th=1&psc=1&language=en_AE,https://m.media-amazon.com/images/I/61vBh7yhZrL._AC_SL1500_.jpg,"[{'reviewer_name': 'Zahiduzzaman Siddiquee', 'review_rating': '4.0 out of 5 stars', 'review_title': '4.0 out of 5 stars\nCamera is not that good', 'review_text': 'Good for networking n browsing but camera is bellow than evarage.\nRead more', 'review_date': 'Reviewed in Saudi Arabia on 2 May 2024'}, {'reviewer_name': 'Mohammed', 'review_rating': '3.0 out of 5 stars', 'review_title': '3.0 out of 5 stars\nعند تحويل الجهاز إلى اللغة المفضلة ويتم تحميل اي تطبيق لغه غير اللغة المستخدمة  الشاشة غير دقيق', 'review_text': 'لاشئ\nRead more', 'review_date': 'Reviewed in Saudi Arabia on 28 November 2023'}]",Amazon SA
Redmi 12 5G Dual SIM mid-night black 8GB RAM 256GB - Global Version,Xiaomi,Android 13.0,8 GB,Snapdragon,256 GB,6.79 Inches,1080 x 2460,"2.0, 2.2 GHz",Redmi 12 5G,,,,,,Black,"2,219.",,SAR,4.1 out of 5 stars,https://www.amazon.sa/Redmi-Dual-mid-night-black-256GB/dp/B0CFV6SBGB?ref_=ast_sto_dp&th=1&psc=1&language=en_AE,https://m.media-amazon.com/images/I/71zlzrTdzSL._AC_SL1500_.jpg,"[{'reviewer_name': 'Kiezle Jacinto', 'review_rating': '5.0 out of 5 stars', 'review_title': '5.0 out of 5 stars\nGood', 'review_text': 'Legit\nRead more', 'review_date': 'Reviewed in Saudi Arabia on 31 July 2024'}, {'reviewer_name': 'يوسف', 'review_rating': '5.0 out of 5 stars', 'review_title': '5.0 out of 5 stars\n,منتج طيب وشحن سريع', 'review_text': 'منتج طيب وسبق ان طلبت منه قبل\nRead more', 'review_date': 'Reviewed in Saudi Arabia on 19 February 2024'}, {'reviewer_name': 'Good', 'review_rating': '4.0 out of 5 stars', 'review_title': '4.0 out of 5 stars\nGood', 'review_text': 'Good\nRead more', 'review_date': 'Reviewed in Saudi Arabia on 15 November 2023'}, {'reviewer_name': 'هل الجوال ضد الماء؟', 'review_rating': '5.0 out of 5 stars', 'review_title': '5.0 out of 5 stars\nممتاز', 'review_text': 'سؤالي هل الجوال ضد الماء؟\nRead more', 'review_date': 'Reviewed in Saudi Arabia on 2 January 2024'}, {'reviewer_name': 'ابراهيم حمزة', 'review_rating': '5.0 out of 5 stars', 'review_title': '5.0 out of 5 stars\nريدمي نوت 12 الجيل الخامس', 'review_text': 'كل شيء جميل\nRead more', 'review_date': 'Reviewed in Saudi Arabia on 1 December 2023'}, {'reviewer_name': 'MEHEDI HASAN', 'review_rating': '5.0 out of 5 stars', 'review_title': '5.0 out of 5 stars\nMobile service is good', 'review_text': 'Very good mobile\nRead more', 'review_date': 'Reviewed in Saudi Arabia on 25 October 2023'}]",Amazon SA
"Xiaomi Redmi Note 12 Dual Sim 8GB RAM 256GB 4G - Global Version, Mint Green",Xiaomi,Android 13.0,8 GB,Snapdragon,256 GB,6.67 Inches,2400 x 1080,2.8,Redmi Note 12,,,,,,Mint Green,699.,,SAR,4.4 out of 5 stars,https://www.amazon.sa/Xiaomi-Redmi-Note-Dual-256GB/dp/B0CD2M755D?ref_=ast_sto_dp&th=1&psc=1&language=en_AE,https://m.media-amazon.com/images/I/71YsGlqN4XL._AC_SL1500_.jpg,"[{'reviewer_name': 'seraj', 'review_rating': '5.0 out of 5 stars', 'review_title': '5.0 out of 5 stars\nجيد', 'review_text': 'انصح في سعر مقابل المواصفات\nRead more', 'review_date': 'Reviewed in Saudi Arabia on 22 May 2024'}, {'reviewer_name': 'دسوقي مندور', 'review_rating': '5.0 out of 5 stars', 'review_title': '5.0 out of 5 stars\nممتاز', 'review_text': 'جيدجداا\nRead more', 'review_date': 'Reviewed in Saudi Arabia on 25 January 2024'}, {'reviewer_name': 'Md Alamin', 'review_rating': '5.0 out of 5 stars', 'review_title': '5.0 out of 5 stars\nHi', 'review_text': '😍😍nice\nRead more', 'review_date': 'Reviewed in Saudi Arabia on 24 January 2024'}, {'reviewer_name': 'Mohamed Salah', 'review_rating': '4.0 out of 5 stars', 'review_title': '4.0 out of 5 stars\nجوال محترم واداءه جيد جدا', 'review_text': 'سعره جيد واداءه جيد. جدايعيبه الاعلانات التي تظهر من وقت لآخركذلك الاشعارات التي تخص البرامج المختلفة حتى لو اغلقت خاصية الاشعار للبرنامج يظهر مجددا\nRead more', 'review_date': 'Reviewed in Saudi Arabia on 29 November 2023'}, {'reviewer_name': 'Jahidul Islam shohan', 'review_rating': '5.0 out of 5 stars', 'review_title': '5.0 out of 5 stars\neverything is good', 'review_text': 'Good\nRead more', 'review_date': 'Reviewed in Saudi Arabia on 1 January 2024'}, {'reviewer_name': 'Tarek', 'review_rating': '5.0 out of 5 stars', 'review_title': '5.0 out of 5 stars\nVery fast delivery', 'review_text': 'Nice packing and product come with full documents\nRead more', 'review_date': 'Reviewed in Saudi Arabia on 11 October 2023'}, {'reviewer_name': 'MUHAMMAD ZAHEER SHEIKH', 'review_rating': '1.0 out of 5 stars', 'review_title': '1.0 out of 5 stars\nTakes sudden actions by itself', 'review_text': ""It takes 30 minutes to turn on the mobile after the device has been turned off. It should also be noted that this phone turns off on its own even when the battery is completely charged. The other person's phone call is not audible to me. My warranty remains valid, so I need\xa0it\xa0checked\xa0out.\nRead more"", 'review_date': 'Reviewed in Saudi Arabia on 29 December 2023'}, {'reviewer_name': 'Sheikh Riaz', 'review_rating': '5.0 out of 5 stars', 'review_title': '5.0 out of 5 stars\nExcellent', 'review_text': 'So Nice\nRead more', 'review_date': 'Reviewed in Saudi Arabia on 14 November 2023'}]",Amazon SA
Redmi Note 12 Dual SIM Onyx Gray 8GB RAM 256GB 4G - Global Version,Xiaomi,Android 13.0,8 GB,Snapdragon,256 GB,6.67 Inches,2400 x 1080,2.8,Redmi Note 12,,,,,,Gray,699.,,SAR,4.4 out of 5 stars,https://www.amazon.sa/Redmi-Note-Dual-Onyx-256GB/dp/B0CD2HV6BJ?ref_=ast_sto_dp&th=1&psc=1&language=en_AE,https://m.media-amazon.com/images/I/71iv8KcK4wL._AC_SL1500_.jpg,"[{'reviewer_name': 'seraj', 'review_rating': '5.0 out of 5 stars', 'review_title': '5.0 out of 5 stars\nجيد', 'review_text': 'انصح في سعر مقابل المواصفات\nRead more', 'review_date': 'Reviewed in Saudi Arabia on 22 May 2024'}, {'reviewer_name': 'دسوقي مندور', 'review_rating': '5.0 out of 5 stars', 'review_title': '5.0 out of 5 stars\nممتاز', 'review_text': 'جيدجداا\nRead more', 'review_date': 'Reviewed in Saudi Arabia on 25 January 2024'}, {'reviewer_name': 'Md Alamin', 'review_rating': '5.0 out of 5 stars', 'review_title': '5.0 out of 5 stars\nHi', 'review_text': '😍😍nice\nRead more', 'review_date': 'Reviewed in Saudi Arabia on 24 January 2024'}, {'reviewer_name': 'Mohamed Salah', 'review_rating': '4.0 out of 5 stars', 'review_title': '4.0 out of 5 stars\nجوال محترم واداءه جيد جدا', 'review_text': 'سعره جيد واداءه جيد. جدايعيبه الاعلانات التي تظهر من وقت لآخركذلك الاشعارات التي تخص البرامج المختلفة حتى لو اغلقت خاصية الاشعار للبرنامج يظهر مجددا\nRead more', 'review_date': 'Reviewed in Saudi Arabia on 29 November 2023'}, {'reviewer_name': 'Jahidul Islam shohan', 'review_rating': '5.0 out of 5 stars', 'review_title': '5.0 out of 5 stars\neverything is good', 'review_text': 'Good\nRead more', 'review_date': 'Reviewed in Saudi Arabia on 1 January 2024'}, {'reviewer_name': 'Tarek', 'review_rating': '5.0 out of 5 stars', 'review_title': '5.0 out of 5 stars\nVery fast delivery', 'review_text': 'Nice packing and product come with full documents\nRead more', 'review_date': 'Reviewed in Saudi Arabia on 11 October 2023'}, {'reviewer_name': 'MUHAMMAD ZAHEER SHEIKH', 'review_rating': '1.0 out of 5 stars', 'review_title': '1.0 out of 5 stars\nTakes sudden actions by itself', 'review_text': ""It takes 30 minutes to turn on the mobile after the device has been turned off. It should also be noted that this phone turns off on its own even when the battery is completely charged. The other person's phone call is not audible to me. My warranty remains valid, so I need\xa0it\xa0checked\xa0out.\nRead more"", 'review_date': 'Reviewed in Saudi Arabia on 29 December 2023'}, {'reviewer_name': 'Sheikh Riaz', 'review_rating': '5.0 out of 5 stars', 'review_title': '5.0 out of 5 stars\nExcellent', 'review_text': 'So Nice\nRead more', 'review_date': 'Reviewed in Saudi Arabia on 14 November 2023'}]",Amazon SA
"Xiaomi Redmi Note 12, 6GB RAM, 128 GB, Onyx Gray + Redmi Band 2 Black",Xiaomi,Android 13.0,6 GB,Snapdragon,128 GB,6.67 Inches,1080 x 2400,2.4 GHz,Redmi Note 12 6+128 GB Onyx Gray,,,,,,Black,579.,,SAR,4.1 out of 5 stars,https://www.amazon.sa/Xiaomi-Redmi-Note-Onyx-Black/dp/B0BZ4MV3FH?ref_=ast_sto_dp&th=1&psc=1&language=en_AE,https://m.media-amazon.com/images/I/61p79A67kPL._AC_SL1000_.jpg,"[{'reviewer_name': 'Abdallah Al-Otaibi', 'review_rating': '5.0 out of 5 stars', 'review_title': '5.0 out of 5 stars\nلونه فخم', 'review_text': 'اقتصادي\nRead more', 'review_date': 'Reviewed in Saudi Arabia on 8 June 2024'}, {'reviewer_name': 'Noornabi', 'review_rating': '4.0 out of 5 stars', 'review_title': '4.0 out of 5 stars\nNice', 'review_text': 'GOOD\nRead more', 'review_date': 'Reviewed in Saudi Arabia on 16 May 2024'}, {'reviewer_name': 'Basem Abdulgafar', 'review_rating': '5.0 out of 5 stars', 'review_title': '5.0 out of 5 stars\n👍🏻', 'review_text': '👍🏻\nRead more', 'review_date': 'Reviewed in Saudi Arabia on 20 March 2024'}, {'reviewer_name': 'abdulla hawsawi', 'review_rating': '5.0 out of 5 stars', 'review_title': '5.0 out of 5 stars\nممتاز لجهاز بهذا المبلغ', 'review_text': 'اخذته امشي فيه اموري لان جاني ظرف بس جدا ابهرني بطاريته تمشي يوم كامل مع الاستخدام ولا يسخن وشاحن سريع معه فقط تصويره عادي هذي سلبيته مقارنة بسعره\nRead more', 'review_date': 'Reviewed in Saudi Arabia on 18 January 2024'}, {'reviewer_name': 'MAxMD', 'review_rating': '3.0 out of 5 stars', 'review_title': '3.0 out of 5 stars\nجيد', 'review_text': 'البلوتوث وتلواي فاي غير ثابتين في الاتصالالواي فاي ضعيف أيضا\nRead more', 'review_date': 'Reviewed in Saudi Arabia on 24 September 2023'}, {'reviewer_name': 'Ahmed', 'review_rating': '2.0 out of 5 stars', 'review_title': '2.0 out of 5 stars\nجوال ممتاز', 'review_text': 'جيد جدا\nRead more', 'review_date': 'Reviewed in Saudi Arabia on 28 March 2024'}, {'reviewer_name': 'MD SHAHAJAN', 'review_rating': '5.0 out of 5 stars', 'review_title': '5.0 out of 5 stars\nAlhamdullia', 'review_text': 'Alhamdullia\nRead more', 'review_date': 'Reviewed in Saudi Arabia on 2 December 2023'}, {'reviewer_name': 'Beautiful device with long lasting battery', 'review_rating': '5.0 out of 5 stars', 'review_title': '5.0 out of 5 stars\nLong lasting battery', 'review_text': ""Beautiful device...it's amazing\nRead more"", 'review_date': 'Reviewed in Saudi Arabia on 29 August 2023'}]",Amazon SA
